PORTFOLIO,,,,,,ADDITIONALINFO,,/ADDITIONALINFO,/PORTFOLIO
,IRT Specialist 1,FVTPL,IRT Specialist 1,IDR,PortfolioType,FundPortfolio,No,,
Yes,LAL,,LAL,IDR,,,,,
,LALA,,LALA,IDR,,,,,
,LIQ BI,,LIQ BI,IDR,,,,,
,LIQ IB,,LIQ IB,IDR,,,,,
,LIQ MM,,LIQ MM,IDR,,,,,
,LIQ NOS,,LIQ NOS,IDR,,,,,
,MANSEK,FVOCI,MANSEK,IDR,PortfolioType,FundPortfolio,No,,
,Marktra,,Marktra,IDR,,,,,
,Marktra EX,,Marktra EX,IDR,,,,,
,MCI,FVOCI,MCI,IDR,PortfolioType,FundPortfolio,No,,
,MIR,FVOCI,MIR,IDR,PortfolioType,FundPortfolio,No,,
Yes,MMI,,MMI,IDR,,,,,
Yes,MTF,FVOCI,MTF,IDR,PortfolioType,FundPortfolio,No,,
,MTF Banking,,MTF Banking,IDR,,,,,
,MTF Trading,,MTF Trading,IDR,,,,,
,MUF,FVOCI,MUF,IDR,PortfolioType,FundPortfolio,No,,
Yes,OVERSEAS,,OVERSEAS,IDR,,,,,
Yes,Parent 2,,Parent 2,IDR,,,,,
,PDN,,PDN,IDR,,FundPortfolio,No,,
,PDN BMEL,,PDN BMEL,USD,,,,,
Yes,New Group,,PDN CONSOLIDATED,IDR,,,,,
,PDN Konsolidasi,,PDN Konsolidasi,IDR,,,,,
,PDN MANSEK,,PDN MANSEK,USD,,,,,
,PDN MIR,,PDN MIR,USD,,,,,
Yes,PDN PA DETAIL,,PDN PA DETAIL,IDR,,,,,
,RD Indeks FTSE Indonesia ESG,FVTPL,RD Indeks FTSE Indonesia ESG,IDR,PortfolioType,FundPortfolio,No,,
,RD Mandiri Asia Sharia Equity Dolla,FVTPL,RD Mandiri Asia Sharia Equity Dollar,IDR,PortfolioType,FundPortfolio,No,,
,RD Mandiri Index LQ45,FVTPL,RD Mandiri Index LQ45,IDR,PortfolioType,FundPortfolio,No,,
,RD Mandiri MM USD,FVTPL,RD Mandiri MM USD,IDR,PortfolioType,FundPortfolio,No,,
,RD Mandiri Obligasi Utama Sejahtera,FVTPL,RD Mandiri Obligasi Utama Sejahtera,IDR,PortfolioType,FundPortfolio,No,,
,RD MI Dana Obligasi 2,FVTPL,RD MI Dana Obligasi 2,IDR,PortfolioType,FundPortfolio,No,,
,RD MI Obligasi Nasional,FVTPL,RD MI Obligasi Nasional,IDR,PortfolioType,FundPortfolio,No,,
,RD MI Pasar Uang,FVTPL,RD MI Pasar Uang,IDR,PortfolioType,FundPortfolio,No,,
,RD MI Pasar Uang 2,FVTPL,RD MI Pasar Uang 2,IDR,PortfolioType,FundPortfolio,No,,
,RD MI Pasar Uang Syariah,FVTPL,RD MI Pasar Uang Syariah,IDR,PortfolioType,FundPortfolio,No,,
,RDT BAHANA 221,FVOCI,RDT BAHANA 221,IDR,PortfolioType,FundPortfolio,No,,
,RDT BAHANA 222,FVOCI,RDT BAHANA 222,IDR,PortfolioType,FundPortfolio,No,,
,reksadana Berdikari 1001,,RDT Berdikari 1001,IDR,,FundPortfolio,No,,
,RDT BMIIPS 1,FVOCI,RDT BMIIPS 1,IDR,PortfolioType,FundPortfolio,No,,
,RDT BNI-AM MAGNIFERA,FVOCI,RDT BNI-AM MAGNIFERA,IDR,PortfolioType,FundPortfolio,No,,
,RDT BNI-AM ORCHID,FVOCI,RDT BNI-AM ORCHID,IDR,PortfolioType,FundPortfolio,No,,
,RDT BNI-AM RASAMALA,FVOCI,RDT BNI-AM RASAMALA,IDR,PortfolioType,FundPortfolio,No,,
,RDT BNI-AM SUNFLOWER,FVOCI,RDT BNI-AM SUNFLOWER,IDR,PortfolioType,FundPortfolio,No,,
,RDT BNPP SELARAS V,FVOCI,RDT BNPP SELARAS V,IDR,PortfolioType,FundPortfolio,No,,
,RDT BNPP SELARAS VI,FVOCI,RDT BNPP SELARAS VI,IDR,PortfolioType,FundPortfolio,No,,
,RDT DIM 79,FVOCI,RDT DIM 79,IDR,PortfolioType,FundPortfolio,No,,
,RDT Mandiri Seri 79,FVTPL,RDT Mandiri Seri 79,IDR,PortfolioType,FundPortfolio,No,,
,RDT Mandiri Seri 80,FVTPL,RDT Mandiri Seri 80,IDR,PortfolioType,FundPortfolio,No,,
,RDT MANULIFE MDPU 3,FVOCI,RDT MANULIFE MDPU 3,IDR,PortfolioType,FundPortfolio,No,,
,RDT MANULIFE MDPU II,FVOCI,RDT MANULIFE MDPU II,IDR,PortfolioType,FundPortfolio,No,,
,RDT PANIN 17,FVOCI,RDT PANIN 17,IDR,PortfolioType,FundPortfolio,No,,
,RDT SYAILENDRA 45,FVOCI,RDT SYAILENDRA 45,IDR,PortfolioType,FundPortfolio,No,,
,RDT SYAILENDRA 46,FVOCI,RDT SYAILENDRA 46,IDR,PortfolioType,FundPortfolio,No,,
,RDT TRIMEGAH 21,FVOCI,RDT TRIMEGAH 21,IDR,PortfolioType,FundPortfolio,No,,
,RDT TRIMEGAH 24,FVOCI,RDT TRIMEGAH 24,IDR,PortfolioType,FundPortfolio,No,,
,RDT TRIMEGAH 26,FVOCI,RDT TRIMEGAH 26,IDR,PortfolioType,FundPortfolio,No,,
,RDT TRIMEGAH XI,FVOCI,RDT TRIMEGAH XI,IDR,PortfolioType,FundPortfolio,No,,
,RDT Underlying,,RDT Underlying,IDR,,,,,
,Retail FX BO,,Retail FX BO,IDR,,,,,
,Retail FX Branch,,Retail FX Branch,IDR,,,,,
,Retail SP,,Retail SP,IDR,,,,,
,SAM 1,,SAM 1,IDR,,,,,
,SAM 2,,SAM 2,IDR,,,,,
,SAM 3,,SAM 3,IDR,,,,,
,STR DEPO Non-protected,FVTPL,STR DEPO Non-protected,IDR,PortfolioType,FundPortfolio,No,,
,STR DEPO Protected,FVOCI,STR DEPO Protected,IDR,PortfolioType,FundPortfolio,No,,
Yes,SUBSIDIARIES,,SUBSIDIARIES,IDR,,,,,
Yes,TAS,,TAS,IDR,,,,,
Yes,TRADING_BOOK,,TRADING_BOOK,IDR,,,,,
Yes,TRC,,TRC,IDR,,,,,
Yes,TREASURY HO,,TREASURY HO,IDR,,,,,
Yes,TWC,,TWC,IDR,,,,,
,VaR Test Portfolio,,VaR Test Portfolio,USD,,FundPortfolio,No,,
,Wholesale FX & Derivative BO,,Wholesale FX & Derivative BO,IDR,,FundPortfolio,No,,
,Wholesale FX Branch,,Wholesale FX Branch,IDR,,,,,
,Wholesale SP,,Wholesale SP,IDR,,,,,
