PORTFOLIO,,,,,,,,,ADDITIONALINFO,,/ADDITIONALINFO,/PORTFOLIO
CURRENCY_PAIR.CURR2.INSID,COMPOUND,ASSINF,TYPE_CHLNBR.ENTRY,CURRENCY_PAIR.CURR1.INSID,CURRENCY_PAIR.NAME,PRFID,CURR.INSID,TYPE_CHLNBR.LIST,ADDINF_SPECNBR.FIELD_NAME,VALUE,,
,Yes,Bonds BU IBFI BMSH - DBU,,,,Bonds BU IBFI BMSH - DBU,CNY,,FundPortfolio,No,,,
,,IBFI 1 BMSH - DBU,,,,IBFI 1 BMSH - DBU,CNY,,FundPortfolio,No,,,
,Yes,Bonds BU Corporate Banking SH - DBU,,,,Bonds BU Corporate Banking SH - DBU,CNY,,FundPortfolio,No,,,
,,CB 1 BMSH - DBU,,,,CB 1 BMSH - DBU,CNY,,FundPortfolio,No,,,
,,CB 2 BMSH - DBU,,,,CB 2 BMSH - DBU,CNY,,FundPortfolio,No,,,
,,CB 3 BMSH - DBU,,,,CB 3 BMSH - DBU,CNY,,FundPortfolio,No,,,
,,CB 4 BMSH - DBU,,,,CB 4 BMSH - DBU,CNY,,FundPortfolio,No,,,
,,CB 5 BMSH - DBU,,,,CB 5 BMSH - DBU,CNY,,FundPortfolio,No,,,
,,CB 6 BMSH - DBU,,,,CB 6 BMSH - DBU,CNY,,FundPortfolio,No,,,
,Yes,Bonds BU GVI BMSH - DBU,,,,Bonds BU GVI BMSH - DBU,CNY,,FundPortfolio,No,,,
,,GVI 1 BMSH - DBU,,,,GVI 1 BMSH - DBU,CNY,,FundPortfolio,No,,,
,,GVI 2 BMSH - DBU,,,,GVI 2 BMSH - DBU,CNY,,FundPortfolio,No,,,
,Yes,Bonds BU Commercial Banking SH - DBU,,,,Bonds BU Commercial Banking SH - DBU,CNY,,FundPortfolio,No,,,
,,Commercial 1 BMSH - DBU,,,,Commercial 1 BMSH - DBU,CNY,,FundPortfolio,No,,,
,,Commercial 2 BMSH - DBU,,,,Commercial 2 BMSH - DBU,CNY,,FundPortfolio,No,,,
,,Commercial 3 BMSH - DBU,,,,Commercial 3 BMSH - DBU,CNY,,FundPortfolio,No,,,
,,Commercial 4 BMSH - DBU,,,,Commercial 4 BMSH - DBU,CNY,,FundPortfolio,No,,,
,,Commercial 5 BMSH - DBU,,,,Commercial 5 BMSH - DBU,CNY,,FundPortfolio,No,,,
,,Commercial 6 BMSH - DBU,,,,Commercial 6 BMSH - DBU,CNY,,FundPortfolio,No,,,
,Yes,Bonds BU SAM BMSH - DBU,,,,Bonds BU SAM BMSH - DBU,CNY,,FundPortfolio,No,,,
,,SAM 1 BMSH - DBU,,,,SAM 1 BMSH - DBU,CNY,,FundPortfolio,No,,,
,,SAM 2 BMSH - DBU,,,,SAM 2 BMSH - DBU,CNY,,FundPortfolio,No,,,
,,SAM 3 BMSH - DBU,,,,SAM 3 BMSH - DBU,CNY,,FundPortfolio,No,,,
,Yes,LAL BMSH - DBU,,,,LAL BMSH - DBU,CNY,,FundPortfolio,No,,,
,,LIQ IB BMSH - DBU,,,,LIQ IB BMSH - DBU,CNY,,FundPortfolio,No,,,
,,LIQ MM BMSH - DBU,,,,LIQ MM BMSH - DBU,CNY,,FundPortfolio,No,,,
,,ALM Bilateral Loans BMSH - DBU,,,,ALM Bilateral Loans BMSH - DBU,CNY,,FundPortfolio,No,,,
,,ALM Bonds Issued BMSH - DBU,,,,ALM Bonds Issued BMSH - DBU,CNY,,FundPortfolio,No,,,
,,LIQ NOS BMSH - DBU,,,,LIQ NOS BMSH - DBU,CNY,,FundPortfolio,No,,,
,Yes,BMSH - DBU - Client,,,,BMSH - DBU - Client,CNY,,FundPortfolio,No,,,
,,FX with Customer BMSH - DBU,,,,FX with Customer BMSH - DBU,CNY,,FundPortfolio,No,,,
,,Bonds with Customer BMSH - DBU,,,,Bonds with Customer BMSH - DBU,CNY,,FundPortfolio,No,,,
,,Derivative with Customer BMSH - DBU,,,,Derivative with Customer BMSH - DBU,CNY,,FundPortfolio,No,,,
