INSTRUMENT,,,,,,,,,,,,,,,,,,,,/INSTRUMENT
CONTR_SIZE,CURR.INSID,EXERCISE_TYPE,EXP_PERIOD,GENERIC,INSID,INSTYPE,MTM_FROM_FEED,OPTION_TYPE,PAYTYPE,PAY_DAY_OFFSET,PAY_OFFSET_METHOD,QUOTATION_SEQNBR.NAME,SETTLEMENT,SPOT_BANKING_DAYS_OFFSET,STRIKE_CURR.INSID,STRIKE_PRICE,STRIKE_TYPE,UND_INSADDR.INSID,UND_INSTYPE,
1000000,GBP,European,2y,Yes,GBP/R/IRS/LI6M/BP-VOL-BUS/2Y/15Y/ATM,Option,Yes,Receiver,Spot,0,Business Days,Volatility bps,Cash Par Yield,0,GBP,0,Rel Frw,GBP/IRS/LI6M-F/15Y,Swap,
1000000,GBP,European,2y,Yes,GBP/R/IRS/LI6M/BP-VOL-BUS/2Y/20Y/ATM,Option,Yes,Receiver,Spot,0,Business Days,Volatility bps,Cash Par Yield,0,GBP,0,Rel Frw,GBP/IRS/LI6M-F/20Y,Swap,
1000000,GBP,European,2y,Yes,GBP/R/IRS/LI6M/BP-VOL-BUS/2Y/25Y/ATM,Option,Yes,Receiver,Spot,0,Business Days,Volatility bps,Cash Par Yield,0,GBP,0,Rel Frw,GBP/IRS/LI6M-F/25Y,Swap,
1000000,GBP,European,2y,Yes,GBP/R/IRS/LI6M/BP-VOL-BUS/2Y/2Y/ATM,Option,Yes,Receiver,Spot,0,Business Days,Volatility bps,Cash Par Yield,0,GBP,0,Rel Frw,GBP/IRS/LI6M-F/2Y,Swap,
1000000,GBP,European,2y,Yes,GBP/R/IRS/LI6M/BP-VOL-BUS/2Y/30Y/ATM,Option,Yes,Receiver,Spot,0,Business Days,Volatility bps,Cash Par Yield,0,GBP,0,Rel Frw,GBP/IRS/LI6M-F/30Y,Swap,
1000000,GBP,European,2y,Yes,GBP/R/IRS/LI6M/BP-VOL-BUS/2Y/3Y/ATM,Option,Yes,Receiver,Spot,0,Business Days,Volatility bps,Cash Par Yield,0,GBP,0,Rel Frw,GBP/IRS/LI6M-F/3Y,Swap,
1000000,GBP,European,2y,Yes,GBP/R/IRS/LI6M/BP-VOL-BUS/2Y/4Y/ATM,Option,Yes,Receiver,Spot,0,Business Days,Volatility bps,Cash Par Yield,0,GBP,0,Rel Frw,GBP/IRS/LI6M-F/4Y,Swap,
1000000,GBP,European,2y,Yes,GBP/R/IRS/LI6M/BP-VOL-BUS/2Y/5Y/ATM,Option,Yes,Receiver,Spot,0,Business Days,Volatility bps,Cash Par Yield,0,GBP,0,Rel Frw,GBP/IRS/LI6M-F/5Y,Swap,
1000000,GBP,European,2y,Yes,GBP/R/IRS/LI6M/BP-VOL-BUS/2Y/7Y/ATM,Option,Yes,Receiver,Spot,0,Business Days,Volatility bps,Cash Par Yield,0,GBP,0,Rel Frw,GBP/IRS/LI6M-F/7Y,Swap,
1000000,GBP,European,30y,Yes,GBP/R/IRS/LI6M/BP-VOL-BUS/30Y/10Y/ATM,Option,Yes,Receiver,Spot,0,Business Days,Volatility bps,Cash Par Yield,0,GBP,0,Rel Frw,GBP/IRS/LI6M-F/10Y,Swap,
1000000,GBP,European,30y,Yes,GBP/R/IRS/LI6M/BP-VOL-BUS/30Y/15Y/ATM,Option,Yes,Receiver,Spot,0,Business Days,Volatility bps,Cash Par Yield,0,GBP,0,Rel Frw,GBP/IRS/LI6M-F/15Y,Swap,
1000000,GBP,European,30y,Yes,GBP/R/IRS/LI6M/BP-VOL-BUS/30Y/20Y/ATM,Option,Yes,Receiver,Spot,0,Business Days,Volatility bps,Cash Par Yield,0,GBP,0,Rel Frw,GBP/IRS/LI6M-F/20Y,Swap,
1000000,GBP,European,30y,Yes,GBP/R/IRS/LI6M/BP-VOL-BUS/30Y/25Y/ATM,Option,Yes,Receiver,Spot,0,Business Days,Volatility bps,Cash Par Yield,0,GBP,0,Rel Frw,GBP/IRS/LI6M-F/25Y,Swap,
1000000,GBP,European,30y,Yes,GBP/R/IRS/LI6M/BP-VOL-BUS/30Y/2Y/ATM,Option,Yes,Receiver,Spot,0,Business Days,Volatility bps,Cash Par Yield,0,GBP,0,Rel Frw,GBP/IRS/LI6M-F/2Y,Swap,
1000000,GBP,European,30y,Yes,GBP/R/IRS/LI6M/BP-VOL-BUS/30Y/30Y/ATM,Option,Yes,Receiver,Spot,0,Business Days,Volatility bps,Cash Par Yield,0,GBP,0,Rel Frw,GBP/IRS/LI6M-F/30Y,Swap,
1000000,GBP,European,30y,Yes,GBP/R/IRS/LI6M/BP-VOL-BUS/30Y/3Y/ATM,Option,Yes,Receiver,Spot,0,Business Days,Volatility bps,Cash Par Yield,0,GBP,0,Rel Frw,GBP/IRS/LI6M-F/3Y,Swap,
1000000,GBP,European,30y,Yes,GBP/R/IRS/LI6M/BP-VOL-BUS/30Y/4Y/ATM,Option,Yes,Receiver,Spot,0,Business Days,Volatility bps,Cash Par Yield,0,GBP,0,Rel Frw,GBP/IRS/LI6M-F/4Y,Swap,
1000000,GBP,European,30y,Yes,GBP/R/IRS/LI6M/BP-VOL-BUS/30Y/5Y/ATM,Option,Yes,Receiver,Spot,0,Business Days,Volatility bps,Cash Par Yield,0,GBP,0,Rel Frw,GBP/IRS/LI6M-F/5Y,Swap,
1000000,GBP,European,30y,Yes,GBP/R/IRS/LI6M/BP-VOL-BUS/30Y/7Y/ATM,Option,Yes,Receiver,Spot,0,Business Days,Volatility bps,Cash Par Yield,0,GBP,0,Rel Frw,GBP/IRS/LI6M-F/7Y,Swap,
1000000,GBP,European,3m,Yes,GBP/R/IRS/LI6M/BP-VOL-BUS/3M/10Y/ATM,Option,Yes,Receiver,Spot,0,Business Days,Volatility bps,Cash Par Yield,0,GBP,0,Rel Frw,GBP/IRS/LI6M-F/10Y,Swap,
1000000,GBP,European,3m,Yes,GBP/R/IRS/LI6M/BP-VOL-BUS/3M/15Y/ATM,Option,Yes,Receiver,Spot,0,Business Days,Volatility bps,Cash Par Yield,0,GBP,0,Rel Frw,GBP/IRS/LI6M-F/15Y,Swap,
1000000,GBP,European,3m,Yes,GBP/R/IRS/LI6M/BP-VOL-BUS/3M/20Y/ATM,Option,Yes,Receiver,Spot,0,Business Days,Volatility bps,Cash Par Yield,0,GBP,0,Rel Frw,GBP/IRS/LI6M-F/20Y,Swap,
1000000,GBP,European,3m,Yes,GBP/R/IRS/LI6M/BP-VOL-BUS/3M/25Y/ATM,Option,Yes,Receiver,Spot,0,Business Days,Volatility bps,Cash Par Yield,0,GBP,0,Rel Frw,GBP/IRS/LI6M-F/25Y,Swap,
1000000,GBP,European,3m,Yes,GBP/R/IRS/LI6M/BP-VOL-BUS/3M/2Y/ATM,Option,Yes,Receiver,Spot,0,Business Days,Volatility bps,Cash Par Yield,0,GBP,0,Rel Frw,GBP/IRS/LI6M-F/2Y,Swap,
