TREATMENTLINK,,,,/TREATMENTLINK
BOOK.NAME,TREATMENT.NAME,ACCOUNTING_INSTRUCTION.NAME,ID,
Treasury_DL,Repo,Repo_MF_Pay Date Interest PL_FCY_ACCY,Treasury_DL|Repo|Repo_MF_Pay Date Interest PL_FCY_ACCY,
Treasury_DL,Repo,Repo_MF_Pay Date Interest PL_FCY (NI),Treasury_DL|Repo|Repo_MF_Pay Date Interest PL_FCY (NI),
Treasury_DL,Reverse Repo,Repo_TD_Daily Interest Accrual_FCY (NI),Treasury_DL|Reverse Repo|Repo_TD_Daily Interest Accrual_FCY (NI),
Treasury_DL,Reverse Repo,Repo_TD_Daily Interest Accrual_FCY_ACCY,Treasury_DL|Reverse Repo|Repo_TD_Daily Interest Accrual_FCY_ACCY,
Treasury_DL,Reverse Repo,Repo_MF_Pay Date Interest PL_FCY_ACCY,Treasury_DL|Reverse Repo|Repo_MF_Pay Date Interest PL_FCY_ACCY,
Treasury_DL,Reverse Repo,Repo_MF_Pay Date Interest PL_FCY (NI),Treasury_DL|Reverse Repo|Repo_MF_Pay Date Interest PL_FCY (NI),
Treasury_DL,Placement(Discounted),Bond_TD_Daily Attributable Fee Amortization,Treasury_DL|Placement(Discounted)|Bond_TD_Daily Attributable Fee Amortization,
Treasury_DL,Placement(Discounted),PSAK_MF_Pay Date Attributable Fee,Treasury_DL|Placement(Discounted)|PSAK_MF_Pay Date Attributable Fee,
Treasury_DL,Placement(Discounted),DepoLoan Discounted_MF_Trade Date Principal,Treasury_DL|Placement(Discounted)|DepoLoan Discounted_MF_Trade Date Principal,
Treasury_DL,Placement(Discounted),DepoLoan Discounted_MF_Value Date Principal,Treasury_DL|Placement(Discounted)|DepoLoan Discounted_MF_Value Date Principal,
Treasury_DL,Bond FVTPL,Bond_MF_Value Date Settlement,Treasury_DL|Bond FVTPL|Bond_MF_Value Date Settlement,
Treasury_DL,Bond FVTPL,Bond_TD_Daily Interest Accrual_FCY_ACCY,Treasury_DL|Bond FVTPL|Bond_TD_Daily Interest Accrual_FCY_ACCY,
Treasury_DL,Bond FVTPL,Bond_TD_Daily Interest Accrual_FCY (NI),Treasury_DL|Bond FVTPL|Bond_TD_Daily Interest Accrual_FCY (NI),
Treasury_DL,Bond FVTPL,Bond_TD_Daily MtM Trade Contract Ref BUPL_FCY (NI),Treasury_DL|Bond FVTPL|Bond_TD_Daily MtM Trade Contract Ref BUPL_FCY (NI),
Treasury_DL,Bond FVTPL,Bond_TD_Daily MtM Trade Contract Ref BUPL_FCY_ACCY,Treasury_DL|Bond FVTPL|Bond_TD_Daily MtM Trade Contract Ref BUPL_FCY_ACCY,
Treasury_DL,Bond FVTPL,Bond_MF_Daily Interest Accrual PL_FCY (NI),Treasury_DL|Bond FVTPL|Bond_MF_Daily Interest Accrual PL_FCY (NI),
Treasury_DL,Bond FVTPL,Bond_MF_Daily Interest Accrual PL_FCY_ACCY,Treasury_DL|Bond FVTPL|Bond_MF_Daily Interest Accrual PL_FCY_ACCY,
Treasury_DL,Bond FVTPL,Bond_TD_Trade Date Sell RPL_FCY (NI),Treasury_DL|Bond FVTPL|Bond_TD_Trade Date Sell RPL_FCY (NI),
Treasury_DL,Bond FVTPL,Bond_TD_Trade Date Sell RPL_FCY_ACCY,Treasury_DL|Bond FVTPL|Bond_TD_Trade Date Sell RPL_FCY_ACCY,
Treasury_DL,Bond FVTPL,PSAK_MF_Pay Date Non-Attributable Fee (As Fee),Treasury_DL|Bond FVTPL|PSAK_MF_Pay Date Non-Attributable Fee (As Fee),
