TREATMENTLINK,,,,/TREATMENTLINK
BOOK.NAME,TREATMENT.NAME,ACCOUNTING_INSTRUCTION.NAME,ID,
Treasury,Bond FVOCI,BondRepoCollateral_TD_Daily Interest Accrued (RTM),Treasury|Bond FVOCI|BondRepoCollateral_TD_Daily Interest Accrued (RTM),
Treasury,Bond FVTPL,BondRepoCollateral_TD_Daily Interest Accrued (RTM),Treasury|Bond FVTPL|BondRepoCollateral_TD_Daily Interest Accrued (RTM),
Treasury,Bond Amortised Cost,BondRepoCollateral_TD_Daily Interest Income (RTM),Treasury|Bond Amortised Cost|BondRepoCollateral_TD_Daily Interest Income (RTM),
Treasury,Bond FVTPL,BondRepoCollateral_TD_Daily Interest Income (RTM),Treasury|Bond FVTPL|BondRepoCollateral_TD_Daily Interest Income (RTM),
Treasury,Bond FVOCI,BondRepoCollateral_TD_Daily Interest Income (RTM),Treasury|Bond FVOCI|BondRepoCollateral_TD_Daily Interest Income (RTM),
Treasury,Bond FVTPL,BondRepoCollateral_TD_Daily MTM (NR),Treasury|Bond FVTPL|BondRepoCollateral_TD_Daily MTM (NR),
Treasury,Bond FVOCI,BondRepoCollateral_TD_Daily MTM (NR),Treasury|Bond FVOCI|BondRepoCollateral_TD_Daily MTM (NR),
Treasury,Bond FVTPL,BondRepoCollateral_TD_Daily MTM (RTM),Treasury|Bond FVTPL|BondRepoCollateral_TD_Daily MTM (RTM),
Treasury,Bond FVOCI,BondRepoCollateral_TD_Daily MTM (RTM),Treasury|Bond FVOCI|BondRepoCollateral_TD_Daily MTM (RTM),
Treasury,CCS IRS,CCS/IRS_Leg Closing Date Commitment,Treasury|CCS IRS|CCS/IRS_Leg Closing Date Commitment,
Treasury,MMLD Rate,CCS/IRS_Leg Closing Date Commitment,Treasury|MMLD Rate|CCS/IRS_Leg Closing Date Commitment,
Treasury,CCS IRS,CCS/IRS_Leg Maturity Date Commitment,Treasury|CCS IRS|CCS/IRS_Leg Maturity Date Commitment,
Treasury,MMLD Rate,CCS/IRS_Leg Maturity Date Commitment,Treasury|MMLD Rate|CCS/IRS_Leg Maturity Date Commitment,
Treasury,CCS IRS,CCS/IRS_Leg_Daily Interest Accrued_Pay,Treasury|CCS IRS|CCS/IRS_Leg_Daily Interest Accrued_Pay,
Treasury,MMLD Rate,CCS/IRS_Leg_Daily Interest Accrued_Pay,Treasury|MMLD Rate|CCS/IRS_Leg_Daily Interest Accrued_Pay,
Treasury,CCS IRS,CCS/IRS_Leg_Daily Interest Accrued_Pay_FCY (NI),Treasury|CCS IRS|CCS/IRS_Leg_Daily Interest Accrued_Pay_FCY (NI),
Treasury,MMLD Rate,CCS/IRS_Leg_Daily Interest Accrued_Pay_FCY (NI),Treasury|MMLD Rate|CCS/IRS_Leg_Daily Interest Accrued_Pay_FCY (NI),
Treasury,CCS IRS,CCS/IRS_Leg_Daily Interest Accrued_Pay_FCY_IDR,Treasury|CCS IRS|CCS/IRS_Leg_Daily Interest Accrued_Pay_FCY_IDR,
Treasury,MMLD Rate,CCS/IRS_Leg_Daily Interest Accrued_Pay_FCY_IDR,Treasury|MMLD Rate|CCS/IRS_Leg_Daily Interest Accrued_Pay_FCY_IDR,
Treasury,CCS IRS,CCS/IRS_Leg_Daily Interest Accrued_Rec,Treasury|CCS IRS|CCS/IRS_Leg_Daily Interest Accrued_Rec,
Treasury,MMLD Rate,CCS/IRS_Leg_Daily Interest Accrued_Rec,Treasury|MMLD Rate|CCS/IRS_Leg_Daily Interest Accrued_Rec,
Treasury,CCS IRS,CCS/IRS_Leg_Daily Interest Accrued_Rec_FCY (NI),Treasury|CCS IRS|CCS/IRS_Leg_Daily Interest Accrued_Rec_FCY (NI),
