TACCOUNTALLOCLINK,,,,,,/TACCOUNTALLOCLINK
COA.ID,CHART_OF_ACCOUNT.T_ACCOUNT.NUMBER,JVD.ID,CHART_OF_ACCOUNT.BOOK.NAME,ID,TREATMENT.NAME,
Treasury|21011110_TaxFIDomestic,21011110_TaxFIDomestic,PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY_IDR|Cash Analysis Projected|Credit,Treasury,Treasury|21011110_TaxFIDomestic|PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY_IDR|Cash Analysis Projected|Credit|Bond FVTPL,Bond FVTPL,
Treasury|21011110_TaxFIDomestic,21011110_TaxFIDomestic,PSAK_MF_Pay Date WIthholding Tax|Cash Analysis Projected|Credit,Treasury,Treasury|21011110_TaxFIDomestic|PSAK_MF_Pay Date WIthholding Tax|Cash Analysis Projected|Credit|Bond FVTPL,Bond FVTPL,
Treasury|21011110_TaxFIDomestic,21011110_TaxFIDomestic,PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY (NI)|Cash Analysis Projected|Debit,Treasury,Treasury|21011110_TaxFIDomestic|PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY (NI)|Cash Analysis Projected|Debit|Bond Amortised Cost,Bond Amortised Cost,
Treasury|21011110_TaxFIDomestic,21011110_TaxFIDomestic,PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY (NI)|Cash Analysis Projected|Debit,Treasury,Treasury|21011110_TaxFIDomestic|PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY (NI)|Cash Analysis Projected|Debit|Bond FVOCI,Bond FVOCI,
Treasury|21011110_TaxFIDomestic,21011110_TaxFIDomestic,PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY (NI)|Cash Analysis Projected|Debit,Treasury,Treasury|21011110_TaxFIDomestic|PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY (NI)|Cash Analysis Projected|Debit|Bond FVTPL,Bond FVTPL,
Treasury|19511649,19511649,Value Day (EOD)|Amount|Credit,Treasury,Treasury|19511649|Value Day (EOD)|Amount|Credit|Settlement,Settlement,
Treasury|19511650,19511650,Value Day (EOD)|Amount|Credit,Treasury,Treasury|19511650|Value Day (EOD)|Amount|Credit|Settlement,Settlement,
Treasury|19511633,19511633,Value Day (EOD)|Amount|Credit,Treasury,Treasury|19511633|Value Day (EOD)|Amount|Credit|Settlement,Settlement,
Treasury|19511633,19511633,Value Day (Real-Time)|Amount|Credit,Treasury,Treasury|19511633|Value Day (Real-Time)|Amount|Credit|Settlement,Settlement,
Treasury|19511633,19511633,Repo_MF_Pay Date Collateral Coupon Transfer|Cash Analysis Projected|Credit,Treasury,Treasury|19511633|Repo_MF_Pay Date Collateral Coupon Transfer|Cash Analysis Projected|Credit|Repo Coupon Transfer,Repo Coupon Transfer,
Treasury|19511633,19511633,PSAK_MF_Pay Date Attributable Fee|Cash Analysis Projected|Debit,Treasury,Treasury|19511633|PSAK_MF_Pay Date Attributable Fee|Cash Analysis Projected|Debit|Placement,Placement,
Treasury|19511633,19511633,DepoLoan_MF_Pay Date Interest PL|Cash Analysis Projected|Debit,Treasury,Treasury|19511633|DepoLoan_MF_Pay Date Interest PL|Cash Analysis Projected|Debit|Borrowing,Borrowing,
Treasury|19511633,19511633,DepoLoan_MF_Maturity Date Principal|Cash Analysis Projected|Debit,Treasury,Treasury|19511633|DepoLoan_MF_Maturity Date Principal|Cash Analysis Projected|Debit|Borrowing,Borrowing,
Treasury|19511633,19511633,DepoLoan_MF_Value Date Principal|Cash Analysis Projected|Debit,Treasury,Treasury|19511633|DepoLoan_MF_Value Date Principal|Cash Analysis Projected|Debit|Borrowing,Borrowing,
Treasury|19511633,19511633,DepoLoan_MF_Pay Date Interest PL|Cash Analysis Projected|Debit,Treasury,Treasury|19511633|DepoLoan_MF_Pay Date Interest PL|Cash Analysis Projected|Debit|Placement,Placement,
Treasury|19511633,19511633,DepoLoan_MF_Maturity Date Principal|Cash Analysis Projected|Debit,Treasury,Treasury|19511633|DepoLoan_MF_Maturity Date Principal|Cash Analysis Projected|Debit|Placement,Placement,
Treasury|19511633,19511633,DepoLoan_MF_Value Date Principal|Cash Analysis Projected|Debit,Treasury,Treasury|19511633|DepoLoan_MF_Value Date Principal|Cash Analysis Projected|Debit|Placement,Placement,
Treasury|19511633,19511633,FX_MF_Value Date Principal|Cash Analysis Projected|Debit,Treasury,Treasury|19511633|FX_MF_Value Date Principal|Cash Analysis Projected|Debit|FX Swap,FX Swap,
Treasury|19511633,19511633,FX_MF_Value Date Principal|Cash Analysis Projected|Debit,Treasury,Treasury|19511633|FX_MF_Value Date Principal|Cash Analysis Projected|Debit|FX Forward,FX Forward,
Treasury|19511633,19511633,PSAK_MF_Pay Date Attributable Fee|Cash Analysis Projected|Debit,Treasury,Treasury|19511633|PSAK_MF_Pay Date Attributable Fee|Cash Analysis Projected|Debit|Borrowing,Borrowing,
Treasury|19511633,19511633,FX_MF_Value Date Principal|Cash Analysis Projected|Debit,Treasury,Treasury|19511633|FX_MF_Value Date Principal|Cash Analysis Projected|Debit|FX Spot,FX Spot,
Treasury|19511633,19511633,Bond_MF_Value Date Settlement|Cash Analysis Projected|Debit,Treasury,Treasury|19511633|Bond_MF_Value Date Settlement|Cash Analysis Projected|Debit|Bond FVTPL,Bond FVTPL,
Treasury|19511633,19511633,DepoLoan Discounted_MF_Value Date Principal|Cash Analysis Projected|Debit,Treasury,Treasury|19511633|DepoLoan Discounted_MF_Value Date Principal|Cash Analysis Projected|Debit|Placement(Discounted),Placement(Discounted),
Treasury|19511633,19511633,PSAK_MF_Pay Date Attributable Fee|Cash Analysis Projected|Debit,Treasury,Treasury|19511633|PSAK_MF_Pay Date Attributable Fee|Cash Analysis Projected|Debit|Placement(Discounted),Placement(Discounted),
Treasury|19511633,19511633,Repo_MF_Maturity Date Principal|Cash Analysis Projected|Debit,Treasury,Treasury|19511633|Repo_MF_Maturity Date Principal|Cash Analysis Projected|Debit|Repo,Repo,
