PORTFOLIO,,,,,,,,,ADDITIONALINFO,,/ADDITIONALINFO,/PORTFOLIO
CURRENCY_PAIR.CURR2.INSID,COMPOUND,ASSINF,TYPE_CHLNBR.ENTRY,CURRENCY_PAIR.CURR1.INSID,CURRENCY_PAIR.NAME,PRFID,CURR.INSID,TYPE_CHLNBR.LIST,ADDINF_SPECNBR.FIELD_NAME,VALUE,,
,,IRT DCM 2 BMSG - DBU,,,,IRT DCM 2 BMSG - DBU,SGD,,FundPortfolio,No,,,
,Yes,IRT MM BMSG - DBU,,,,IRT MM BMSG - DBU,SGD,,FundPortfolio,No,,,
,,IRT MM Depo Loan Repo RR 1 BMSG - DBU,,,,IRT MM Depo Loan Repo RR 1 BMSG - DBU,SGD,,FundPortfolio,No,,,
,,IRT MM Depo Loan Repo RR 2 BMSG - DBU,,,,IRT MM Depo Loan Repo RR 2 BMSG - DBU,SGD,,FundPortfolio,No,,,
,Yes,IRT Derivative BMSG - DBU,,,,IRT Derivative BMSG - DBU,SGD,,FundPortfolio,No,,,
,,IRT Derivative 1 BMSG - DBU,,,,IRT Derivative 1 BMSG - DBU,SGD,,FundPortfolio,No,,,
,,IRT Derivative 2 BMSG - DBU,,,,IRT Derivative 2 BMSG - DBU,SGD,,FundPortfolio,No,,,
,Yes,BMSG - DBU - Banking,,,,BMSG - DBU - Banking,SGD,,FundPortfolio,No,,,
,Yes,BBM BMSG - DBU,,,,BBM BMSG - DBU,SGD,,FundPortfolio,No,,,
,Yes,Banking Derivatives BMSG - DBU,,,,Banking Derivatives BMSG - DBU,SGD,,FundPortfolio,No,,,
,,BB Derivative BMSG - DBU,,,,BB Derivative BMSG - DBU,SGD,,FundPortfolio,No,,,
,Yes,Banking FX BMSG - DBU,,,,Banking FX BMSG - DBU,SGD,,FundPortfolio,No,,,
,,BB FX BMSG - DBU,,,,BB FX BMSG - DBU,SGD,,FundPortfolio,No,,,
,Yes,Banking IR BMSG - DBU,,,,Banking IR BMSG - DBU,SGD,,FundPortfolio,No,,,
,Yes,BB Bond Treasury BMSG - DBU,,,,BB Bond Treasury BMSG - DBU,SGD,,FundPortfolio,No,,,
,,BB BOND PL BMSG - DBU,FVTPL,,,BB BOND PL BMSG - DBU,SGD,PortfolioType,FundPortfolio,No,,,
