CHOICELIST,,,/CHOICELIST
EmasProdCode,M-KKPXKUT,M-KKPXKUT,KMK KKP EKS-KUT
EmasProdCode,M-KKU,M-KUK,KMK KKU UMUM
EmasProdCode,M-KLBIBANK,M-KLBIBANK,KMK KR KLBI BNK
EmasProdCode,M-KOPERASI,M-KOPERASI,KMK KOPERASI
EmasProdCode,M-KUK,M-KUK,KMK KUK
EmasProdCode,M-KUK-BK,M-KUK-BK,KMK KT LSG KUK-BNK
EmasProdCode,M-KUK-NB,M-KUK-NB,KMK KT LSG KUK-NBNK
EmasProdCode,M-LAINVA,M-LAINVA,KMK LAINNYA VA - EUR
EmasProdCode,M-LAINVA,M-LAINVA,KMK LAINNYA VA - JPY
EmasProdCode,M-LAINVA,M-LAINVA,KMK LAINNYA VA - USD
EmasProdCode,M-NKDNBUMN,M-NKDNBUMN,KMK N-KUK DANA BUMN
EmasProdCode,M-NKXDBUMN,M-NKXDBUMN,KMK NKUK ES DNA BUMN
EmasProdCode,M-NONKUKBK,M-NONKUKBK,KMK KR LANGSUNG NKUK
EmasProdCode,M-PBSN,M-PBSN,KMK PERKEBUNAN PBSN
EmasProdCode,M-PKUK-BK,M-PKUK-BK,KMK P.KREDIT KUK BNK
EmasProdCode,M-PKUK-NB,M-PKUK-NB,KMK P.KREDIT KUK NBK
EmasProdCode,M-POSFINVA,M-POSFINVA,KMK PST FIN.VA - EUR
EmasProdCode,M-POSFINVA,M-POSFINVA,KMK PST FIN.VA - JPY
EmasProdCode,M-POSFINVA,M-POSFINVA,KMK PST FIN.VA - USD
EmasProdCode,M-POSTFIN,M-UMUM,KMK POST FINANCING
EmasProdCode,M-PUKK,M-PUKK,KMK PUKK
EmasProdCode,M-SINBKVA,M-SINBKVA,KMK VA SINDIKASI BNK
EmasProdCode,M-SINNKBK,M-SINNKBK,KMK KR SINDIKASI
EmasProdCode,M-UMUM,M-UMUM,KMK UMUM
EmasProdCode,M-UMUM,M-UMUM,KMK UMUM - USD
EmasProdCode,MITRAAN,MITRAAN,MITRAKARYA MANDIRI A
EmasProdCode,MITRAFL,MITRAFL,MITRAKARYA MANDIRI F
EmasProdCode,MOF,MOF,KR KELOLAAN MOF
EmasProdCode,MOFRBBG,MOFRBBG,KKM OF FORESTRY BB
EmasProdCode,MOFRTBG,MOFRTBG,KKM OF FORESTRY TB
EmasProdCode,MOFVA,MOFVA,KKM OF FIN.VA - AUD
EmasProdCode,MOFVA,MOFVA,KKM OF FIN.VA - EUR
EmasProdCode,MOFVA,MOFVA,KKM OF FIN.VA - GBP
EmasProdCode,MOFVA,MOFVA,KKM OF FIN.VA - JPY
EmasProdCode,MOFVA,MOFVA,KKM OF FIN.VA - NLG
EmasProdCode,MOFVA,MOFVA,KKM OF FIN.VA - USD
EmasProdCode,MULTIGUNAA,MULTIGUNAA,MULTIGUNA MANDIRI AN
EmasProdCode,MULTIGUNAD,MULTIGUNAD,MULTIGUNA MANDIRI DV
EmasProdCode,MULTIGUNAF,MULTIGUNAF,MULTIGUNA MANDIRI FL
EmasProdCode,MULTIGUNKA,MULTIGUNKA,MULTIGUNA MANDIRI KA
EmasProdCode,MULTIGUNKD,MULTIGUNKD,MULTIGUNA MANDIRI KD
EmasProdCode,MULTIGUNKF,MULTIGUNKF,MULTIGUNA MANDIRI KF
EmasProdCode,PIRKEBUN,PIRKEBUN,KR PIR PERKEBUNAN
