CHOICELIST,,,,/CHOICELIST
LIST,SORT_ORDER,ENTRY,DESCRIPTION,
MASTER,,Location,Customer Address Location in eMAS,
Location,207,Kab. Pakpak Bharat,3317,
Location,208,Kab. Samosir,3318,
Location,209,Kab. Serdang Bedagai,3319,
Location,210,Kabupaten Angkola Sipirok,3320,
Location,211,Kabupaten Batu Bara,3321,
Location,212,Kabupaten Padang Lawas,3322,
Location,213,Kabupaten Padang Lawas Utara,3323,
Location,214,Kab. NIAS BARAT,3324,
Location,215,Kab. NIAS UTARA,3325,
Location,216,Kab. Nias Barat 3326,3326,
Location,217,Kab. Nias Utara 3327,3327,
Location,218,Kab. LABUHAN BATU SELATAN,3328,
Location,219,Kab. LABUHAN BATU UTARA,3329,
Location,220,Kab. Batubara,3330,
Location,221,"XXXProv.Sumatera Utara,Kab/Kota Lainnya",3388,
Location,222,"Kod. Tebing Tinggi, Sumatera Utara",3391,
Location,223,"Kod. Binjai, Sumatera Utara",3392,
Location,224,"Kod. Pematangsiantar, Sumatera Utara",3393,
Location,225,"Kod. Tanjung Balai, Sumatera Utara",3394,
Location,226,"Kod. Sibolga, Sumatera Utara",3395,
Location,227,"Kod. Medan, Sumatera Utara",3396,
Location,228,Kab. GUNUNG SITOLI,3397,
Location,229,"Kotif Kisaran, Sumatera Utara",3398,
Location,230,"Kotif Padang Sidempuan, Sumatera Utara",3399,
Location,231,XXXProvinsi Sumatera Barat,3400,
Location,232,"Kab. Agam, Sumatera Barat",3401,
Location,233,"Kab. Pasaman, Sumatera Barat",3402,
Location,234,"Kab. Limapuluh Kota, Sumatera Barat",3403,
Location,235,"Kab. Solok, Sumatera Barat",3404,
Location,236,"Kab. Padang/Pariaman, Sumatera Barat",3405,
Location,237,"Kab. Pesisir Selatan, Sumatera Barat",3406,
Location,238,"Kab. Tanah Datar, Sumatera Barat",3407,
Location,239,"Kab. Sawahlunto/Sijunj, Sumatera Barat",3408,
Location,240,"Kab. Mentawai, Sumatera Barat",3409,
Location,241,Kab. Pasaman Barat,3410,
Location,242,Kab. Dharmasraya,3411,
Location,243,Kab. Solok,3412,
Location,244,Kab. PESISIR BARAT 3413,3413,
Location,245,"Prov.Sumatera Barat,Kab/Kota Lainnya",3488,
Location,246,"Kod. Bukittinggi, Sumatera Barat",3491,
Location,247,"Kod. Padang, Sumatera Barat",3492,
Location,248,"Kod. Sawahlunto, Sumatera Barat",3493,
Location,249,"Kod. Padangpanjang, Sumatera Barat",3494,
Location,250,"Kod. Solok, Sumatera Barat",3495,
Location,251,"Kod. Payakumbuh, Sumatera Barat",3496,
Location,252,"Kotif Pariaman, Sumatera Barat",3497,
Location,253,Kab. KEPULAUAN MENTAWAI,3498,
Location,254,Kab. LIMAPULUH KOTA,3499,
Location,255,XXXProvinsi Riau,3500,
Location,256,"Kab. Kampar, Riau",3501,
Location,257,"Kab. Bengkalis, Riau",3502,
Location,258,"Kab. Riau Kepulauan, Riau",3503,
Location,259,"Kab. Indragiri Hulu, Riau",3504,
