TACCOUNTALLOCLINK,,,,,,/TACCOUNTALLOCLINK
COA.ID,CHART_OF_ACCOUNT.T_ACCOUNT.NUMBER,JVD.ID,CHART_OF_ACCOUNT.BOOK.NAME,ID,TREATMENT.NAME,
Treasury_CI|51021101,51021101,DepoLoan_MF_Pay Date Interest PL_FCY_ACCY|PSAK FI Interest Income Acc Curr|Credit,Treasury_CI,Treasury_CI|51021101|DepoLoan_MF_Pay Date Interest PL_FCY_ACCY|PSAK FI Interest Income Acc Curr|Credit|Borrowing,Borrowing,
Treasury_CI|19511633,19511633,PSAK_MF_Pay Date Attributable Fee|Cash Analysis Projected|Debit,Treasury_CI,Treasury_CI|19511633|PSAK_MF_Pay Date Attributable Fee|Cash Analysis Projected|Debit|Placement,Placement,
Treasury_CI|12511103,12511103,PSAK_MF_Pay Date Attributable Fee|Cash Analysis Projected|Credit,Treasury_CI,Treasury_CI|12511103|PSAK_MF_Pay Date Attributable Fee|Cash Analysis Projected|Credit|Placement,Placement,
Treasury_CI|19511633,19511633,FX_MF_Value Date Principal|Cash Analysis Projected|Debit,Treasury_CI,Treasury_CI|19511633|FX_MF_Value Date Principal|Cash Analysis Projected|Debit|FX Spot,FX Spot,
Treasury_CI|61512101,61512101,FX_MF_Trade Date OffBalance Principal|Cash Analysis Projected|Debit,Treasury_CI,Treasury_CI|61512101|FX_MF_Trade Date OffBalance Principal|Cash Analysis Projected|Debit|FX Spot,FX Spot,
Treasury_CI|81512101,81512101,FX_MF_Trade Date OffBalance Principal|Cash Analysis Projected|Credit,Treasury_CI,Treasury_CI|81512101|FX_MF_Trade Date OffBalance Principal|Cash Analysis Projected|Credit|FX Spot,FX Spot,
Treasury_CI|91512101,91512101,FX_MF_Trade Date OffBalance Principal|Cash Analysis Projected|Credit,Treasury_CI,Treasury_CI|91512101|FX_MF_Trade Date OffBalance Principal|Cash Analysis Projected|Credit|FX Spot,FX Spot,
Treasury_CI|71512101,71512101,FX_MF_Trade Date OffBalance Principal|Cash Analysis Projected|Debit,Treasury_CI,Treasury_CI|71512101|FX_MF_Trade Date OffBalance Principal|Cash Analysis Projected|Debit|FX Spot,FX Spot,
Treasury_CI|81512101,81512101,FX_MF_Value Date OffBalance Principal|Cash Analysis Projected|Debit,Treasury_CI,Treasury_CI|81512101|FX_MF_Value Date OffBalance Principal|Cash Analysis Projected|Debit|FX Spot,FX Spot,
Treasury_CI|91512101,91512101,FX_MF_Value Date OffBalance Principal|Cash Analysis Projected|Debit,Treasury_CI,Treasury_CI|91512101|FX_MF_Value Date OffBalance Principal|Cash Analysis Projected|Debit|FX Spot,FX Spot,
