TREATMENTLINK,,,,/TREATMENTLINK
BOOK.NAME,TREATMENT.NAME,ACCOUNTING_INSTRUCTION.NAME,ID,
Treasury_CI,Reverse Repo,Repo_MF_Trade Date Principal,Treasury_CI|Reverse Repo|Repo_MF_Trade Date Principal,
Treasury_CI,Borrowing,PSAK_MF_Pay Date WIthholding Tax,Treasury_CI|Borrowing|PSAK_MF_Pay Date WIthholding Tax,
Treasury_CI,Borrowing,DepoLoan_MF_Pay Date WIthholding Tax _FCY_IDR,Treasury_CI|Borrowing|DepoLoan_MF_Pay Date WIthholding Tax _FCY_IDR,
Treasury_CI,Borrowing,DepoLoan_MF_Pay Date WIthholding Tax_FCY (NI),Treasury_CI|Borrowing|DepoLoan_MF_Pay Date WIthholding Tax_FCY (NI),
Treasury_CI,Placement(Discounted),DepoLoan Discounted_MF_Maturity Pay Date,Treasury_CI|Placement(Discounted)|DepoLoan Discounted_MF_Maturity Pay Date,
Treasury_CI,Repo,Repo_MF_Trade Date Principal,Treasury_CI|Repo|Repo_MF_Trade Date Principal,
Treasury_CI,Repo,Repo_TD_Daily Interest Accrual_FCY (NI),Treasury_CI|Repo|Repo_TD_Daily Interest Accrual_FCY (NI),
Treasury_CI,Repo,Repo_TD_Daily Interest Accrual_FCY_ACCY,Treasury_CI|Repo|Repo_TD_Daily Interest Accrual_FCY_ACCY,
Treasury_CI,Repo,Repo_MF_Pay Date Interest PL_FCY_ACCY,Treasury_CI|Repo|Repo_MF_Pay Date Interest PL_FCY_ACCY,
Treasury_CI,Repo,Repo_MF_Pay Date Interest PL_FCY (NI),Treasury_CI|Repo|Repo_MF_Pay Date Interest PL_FCY (NI),
Treasury_CI,Reverse Repo,Repo_TD_Daily Interest Accrual_FCY (NI),Treasury_CI|Reverse Repo|Repo_TD_Daily Interest Accrual_FCY (NI),
Treasury_CI,Reverse Repo,Repo_TD_Daily Interest Accrual_FCY_ACCY,Treasury_CI|Reverse Repo|Repo_TD_Daily Interest Accrual_FCY_ACCY,
Treasury_CI,Reverse Repo,Repo_MF_Pay Date Interest PL_FCY_ACCY,Treasury_CI|Reverse Repo|Repo_MF_Pay Date Interest PL_FCY_ACCY,
Treasury_CI,Reverse Repo,Repo_MF_Pay Date Interest PL_FCY (NI),Treasury_CI|Reverse Repo|Repo_MF_Pay Date Interest PL_FCY (NI),
Treasury_CI,Placement(Discounted),Bond_TD_Daily Attributable Fee Amortization,Treasury_CI|Placement(Discounted)|Bond_TD_Daily Attributable Fee Amortization,
Treasury_CI,Placement(Discounted),PSAK_MF_Pay Date Attributable Fee,Treasury_CI|Placement(Discounted)|PSAK_MF_Pay Date Attributable Fee,
Treasury_CI,Placement(Discounted),DepoLoan Discounted_MF_Trade Date Principal,Treasury_CI|Placement(Discounted)|DepoLoan Discounted_MF_Trade Date Principal,
Treasury_CI,Placement(Discounted),DepoLoan Discounted_MF_Value Date Principal,Treasury_CI|Placement(Discounted)|DepoLoan Discounted_MF_Value Date Principal,
Treasury_CI,Bond FVTPL,Bond_MF_Value Date Settlement,Treasury_CI|Bond FVTPL|Bond_MF_Value Date Settlement,
Treasury_CI,Bond FVTPL,Bond_TD_Daily Interest Accrual_FCY_ACCY,Treasury_CI|Bond FVTPL|Bond_TD_Daily Interest Accrual_FCY_ACCY,
Treasury_CI,Bond FVTPL,Bond_TD_Daily Interest Accrual_FCY (NI),Treasury_CI|Bond FVTPL|Bond_TD_Daily Interest Accrual_FCY (NI),
Treasury_CI,Bond FVTPL,Bond_TD_Daily MtM Trade Contract Ref BUPL_FCY (NI),Treasury_CI|Bond FVTPL|Bond_TD_Daily MtM Trade Contract Ref BUPL_FCY (NI),
Treasury_CI,Bond FVTPL,Bond_TD_Daily MtM Trade Contract Ref BUPL_FCY_ACCY,Treasury_CI|Bond FVTPL|Bond_TD_Daily MtM Trade Contract Ref BUPL_FCY_ACCY,
Treasury_CI,Bond FVTPL,Bond_MF_Daily Interest Accrual PL_FCY (NI),Treasury_CI|Bond FVTPL|Bond_MF_Daily Interest Accrual PL_FCY (NI),
Treasury_CI,Bond FVTPL,Bond_MF_Daily Interest Accrual PL_FCY_ACCY,Treasury_CI|Bond FVTPL|Bond_MF_Daily Interest Accrual PL_FCY_ACCY,
Treasury_CI,Bond FVTPL,Bond_TD_Trade Date Sell RPL_FCY (NI),Treasury_CI|Bond FVTPL|Bond_TD_Trade Date Sell RPL_FCY (NI),
Treasury_CI,Bond FVTPL,Bond_TD_Trade Date Sell RPL_FCY_ACCY,Treasury_CI|Bond FVTPL|Bond_TD_Trade Date Sell RPL_FCY_ACCY,
Treasury_CI,Bond FVTPL,PSAK_MF_Pay Date Non-Attributable Fee (As Fee),Treasury_CI|Bond FVTPL|PSAK_MF_Pay Date Non-Attributable Fee (As Fee),
Treasury_CI,Bond FVTPL,PSAK_MF_Pay Date Non-Attributable Fee (Linear),Treasury_CI|Bond FVTPL|PSAK_MF_Pay Date Non-Attributable Fee (Linear),
Treasury_CI,Bond FVTPL,PSAK_TD_Daily Non-Attributable Fee Amortization,Treasury_CI|Bond FVTPL|PSAK_TD_Daily Non-Attributable Fee Amortization,
Treasury_CI,Bond FVTPL,PSAK_TD_Daily Non-Attributable Fee Amortization_FCY (NI),Treasury_CI|Bond FVTPL|PSAK_TD_Daily Non-Attributable Fee Amortization_FCY (NI),
Treasury_CI,Bond FVTPL,PSAK_TD_Daily Non-Attributable Fee Amortization_FCY_ACCY,Treasury_CI|Bond FVTPL|PSAK_TD_Daily Non-Attributable Fee Amortization_FCY_ACCY,
Treasury_CI,Bond FVTPL,PSAK_MF_Pay Date WIthholding Tax,Treasury_CI|Bond FVTPL|PSAK_MF_Pay Date WIthholding Tax,
Treasury_CI,Bond FVTPL,PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY (NI),Treasury_CI|Bond FVTPL|PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY (NI),
Treasury_CI,Borrowing,PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY (NI),Treasury_CI|Borrowing|PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY (NI),
Treasury_CI,Bond FVOCI,Bond OCI/AC_TD_Trade Date Buy,Treasury_CI|Bond FVOCI|Bond OCI/AC_TD_Trade Date Buy,
Treasury_CI,Bond FVOCI,Bond_MF_Value Date Settlement,Treasury_CI|Bond FVOCI|Bond_MF_Value Date Settlement,
Treasury_CI,Bond FVOCI,PSAK_MF_Pay Date Non-Attributable Fee (Linear),Treasury_CI|Bond FVOCI|PSAK_MF_Pay Date Non-Attributable Fee (Linear),
Treasury_CI,Bond FVOCI,PSAK_MF_Pay Date Non-Attributable Fee (As Fee),Treasury_CI|Bond FVOCI|PSAK_MF_Pay Date Non-Attributable Fee (As Fee),
Treasury_CI,Bond FVOCI,PSAK_MF_Pay Date WIthholding Tax,Treasury_CI|Bond FVOCI|PSAK_MF_Pay Date WIthholding Tax,
Treasury_CI,Bond FVOCI,Bond_MF_Daily Interest Accrual PL_FCY (NI),Treasury_CI|Bond FVOCI|Bond_MF_Daily Interest Accrual PL_FCY (NI),
Treasury_CI,Bond FVOCI,Bond_MF_Daily Interest Accrual PL_FCY_ACCY,Treasury_CI|Bond FVOCI|Bond_MF_Daily Interest Accrual PL_FCY_ACCY,
Treasury_CI,Bond FVOCI,Bond_TD_Daily Interest Accrual_FCY_ACCY,Treasury_CI|Bond FVOCI|Bond_TD_Daily Interest Accrual_FCY_ACCY,
Treasury_CI,Bond FVOCI,Bond_TD_Daily Interest Accrual_FCY (NI),Treasury_CI|Bond FVOCI|Bond_TD_Daily Interest Accrual_FCY (NI),
Treasury_CI,Bond FVOCI,Bond_TD_Daily MtM Trade Contract Ref BUPL_FCY (NI),Treasury_CI|Bond FVOCI|Bond_TD_Daily MtM Trade Contract Ref BUPL_FCY (NI),
Treasury_CI,Bond FVOCI,Bond_TD_Daily Premium/Discount Amortization_FCY_ACCY,Treasury_CI|Bond FVOCI|Bond_TD_Daily Premium/Discount Amortization_FCY_ACCY,
Treasury_CI,Bond FVOCI,Bond_TD_Daily Premium/Discount Amortization_FCY (NI),Treasury_CI|Bond FVOCI|Bond_TD_Daily Premium/Discount Amortization_FCY (NI),
Treasury_CI,Bond FVOCI,Bond_TD_Trade Date Sell RPL_FCY (NI),Treasury_CI|Bond FVOCI|Bond_TD_Trade Date Sell RPL_FCY (NI),
Treasury_CI,Bond FVOCI,Bond_TD_Trade Date Sell RPL_FCY_ACCY,Treasury_CI|Bond FVOCI|Bond_TD_Trade Date Sell RPL_FCY_ACCY,
Treasury_CI,Bond FVOCI,PSAK_MF_Pay Date Attributable Fee,Treasury_CI|Bond FVOCI|PSAK_MF_Pay Date Attributable Fee,
Treasury_CI,Bond FVTPL,Bond_MF_Daily Interest Accrual PL,Treasury_CI|Bond FVTPL|Bond_MF_Daily Interest Accrual PL,
Treasury_CI,Bond FVTPL,Bond_TD_Premium/Discount FVTPL Maturity Date,Treasury_CI|Bond FVTPL|Bond_TD_Premium/Discount FVTPL Maturity Date,
Treasury_CI,Placement,DepoLoan_MF_Trade Date Principal,Treasury_CI|Placement|DepoLoan_MF_Trade Date Principal,
