PRICELINKDEFINITION,,,,,,,,,,,,,,,/PRICELINKDEFINITION
INSADDR.EXTERN_ID1,PRICE_SEMANTIC_SEQNBR.NAME,XML_DATA,FORCE_UPDATE,DISNBR.DISID,SOURCE_PTYNBR.PTYID,DONOT_RESET_FIELDS,SERVICE.LIST,IDP_CODE,STOP_TIME,UPDATE_INTERVAL,SERVICE.ENTRY,INSADDR.INSID,CURR.INSID,MULTIPLICATION_FACTOR,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,AUDQM3AB7Y=,960,-1,IDN_SELECTFEED,AUD/IRS/BB3M-F/7Y,AUD,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,AUDQM3AB10Y=,960,-1,IDN_SELECTFEED,AUD/IRS/BB3M-F/10Y,AUD,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,AUDSM6AB20Y=,960,-1,IDN_SELECTFEED,AUD/IRS/BB6M-F/20Y,AUD,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,AUDSM6AB25Y=,960,-1,IDN_SELECTFEED,AUD/IRS/BB6M-F/25Y,AUD,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,AUDSM6AB30Y=,960,-1,IDN_SELECTFEED,AUD/IRS/BB6M-F/30Y,AUD,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,GBPIDRSW=R,960,-1,IDN_SELECTFEED,GBP-IDR/SW/1W,IDR,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,GBPIDR1M=R,960,-1,IDN_SELECTFEED,GBP-IDR/SW/1M,IDR,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,GBPIDR3M=R,960,-1,IDN_SELECTFEED,GBP-IDR/SW/3M,IDR,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,GBPIDR6M=R,960,-1,IDN_SELECTFEED,GBP-IDR/SW/6M,IDR,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,GBPIDR9M=R,960,-1,IDN_SELECTFEED,GBP-IDR/SW/9M,IDR,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,GBPIDR1Y=R,960,-1,IDN_SELECTFEED,GBP-IDR/SW/1Y,IDR,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,AUDIDR1M=R,960,-1,IDN_SELECTFEED,AUD-IDR/SW/1M,IDR,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,AUDIDR3M=R,960,-1,IDN_SELECTFEED,AUD-IDR/SW/3M,IDR,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,AUDIDR6M=R,960,-1,IDN_SELECTFEED,AUD-IDR/SW/6M,IDR,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,AUDIDR9M=R,960,-1,IDN_SELECTFEED,AUD-IDR/SW/9M,IDR,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,AUDIDR1Y=R,960,-1,IDN_SELECTFEED,AUD-IDR/SW/1Y,IDR,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,AUDIDRSW=R,960,-1,IDN_SELECTFEED,AUD-IDR/SW/1W,IDR,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,AUDSM6AB12Y=,960,-1,IDN_SELECTFEED,AUD/IRS/BB6M-F/12Y,AUD,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,AUDSM6AB15Y=,960,-1,IDN_SELECTFEED,AUD/IRS/BB6M-F/15Y,AUD,1,
,RSFBND,,FALSE,APH_REFINITIV,REFINITIV_SPOT,-1,PriceServices,AUDOND=,960,-1,IDN_SELECTFEED,AUD/DEP/1D,AUD,1,
