TREATMENTLINK,,,,/TREATMENTLINK
BOOK.NAME,TREATMENT.NAME,ACCOUNTING_INSTRUCTION.NAME,ID,
Treasury_HK,Placement(Discounted),DepoLoan Discounted_MF_Maturity Pay Date,Treasury_HK|Placement(Discounted)|DepoLoan Discounted_MF_Maturity Pay Date,
Treasury_HK,Repo,Repo_MF_Trade Date Principal,Treasury_HK|Repo|Repo_MF_Trade Date Principal,
Treasury_HK,Repo,Repo_TD_Daily Interest Accrual_FCY (NI),Treasury_HK|Repo|Repo_TD_Daily Interest Accrual_FCY (NI),
Treasury_HK,Repo,Repo_TD_Daily Interest Accrual_FCY_ACCY,Treasury_HK|Repo|Repo_TD_Daily Interest Accrual_FCY_ACCY,
Treasury_HK,Repo,Repo_MF_Pay Date Interest PL_FCY_ACCY,Treasury_HK|Repo|Repo_MF_Pay Date Interest PL_FCY_ACCY,
Treasury_HK,Repo,Repo_MF_Pay Date Interest PL_FCY (NI),Treasury_HK|Repo|Repo_MF_Pay Date Interest PL_FCY (NI),
Treasury_HK,Reverse Repo,Repo_TD_Daily Interest Accrual_FCY (NI),Treasury_HK|Reverse Repo|Repo_TD_Daily Interest Accrual_FCY (NI),
Treasury_HK,Reverse Repo,Repo_TD_Daily Interest Accrual_FCY_ACCY,Treasury_HK|Reverse Repo|Repo_TD_Daily Interest Accrual_FCY_ACCY,
Treasury_HK,Reverse Repo,Repo_MF_Pay Date Interest PL_FCY_ACCY,Treasury_HK|Reverse Repo|Repo_MF_Pay Date Interest PL_FCY_ACCY,
Treasury_HK,Reverse Repo,Repo_MF_Pay Date Interest PL_FCY (NI),Treasury_HK|Reverse Repo|Repo_MF_Pay Date Interest PL_FCY (NI),
Treasury_HK,Placement(Discounted),Bond_TD_Daily Attributable Fee Amortization,Treasury_HK|Placement(Discounted)|Bond_TD_Daily Attributable Fee Amortization,
Treasury_HK,Placement(Discounted),PSAK_MF_Pay Date Attributable Fee,Treasury_HK|Placement(Discounted)|PSAK_MF_Pay Date Attributable Fee,
Treasury_HK,Placement(Discounted),DepoLoan Discounted_MF_Trade Date Principal,Treasury_HK|Placement(Discounted)|DepoLoan Discounted_MF_Trade Date Principal,
Treasury_HK,Placement(Discounted),DepoLoan Discounted_MF_Value Date Principal,Treasury_HK|Placement(Discounted)|DepoLoan Discounted_MF_Value Date Principal,
Treasury_HK,Bond FVTPL,Bond_MF_Value Date Settlement,Treasury_HK|Bond FVTPL|Bond_MF_Value Date Settlement,
Treasury_HK,Bond FVTPL,Bond_TD_Daily Interest Accrual_FCY_ACCY,Treasury_HK|Bond FVTPL|Bond_TD_Daily Interest Accrual_FCY_ACCY,
Treasury_HK,Bond FVTPL,Bond_TD_Daily Interest Accrual_FCY (NI),Treasury_HK|Bond FVTPL|Bond_TD_Daily Interest Accrual_FCY (NI),
Treasury_HK,Bond FVTPL,Bond_TD_Daily MtM Trade Contract Ref BUPL_FCY (NI),Treasury_HK|Bond FVTPL|Bond_TD_Daily MtM Trade Contract Ref BUPL_FCY (NI),
Treasury_HK,Bond FVTPL,Bond_TD_Daily MtM Trade Contract Ref BUPL_FCY_ACCY,Treasury_HK|Bond FVTPL|Bond_TD_Daily MtM Trade Contract Ref BUPL_FCY_ACCY,
Treasury_HK,Bond FVTPL,Bond_MF_Daily Interest Accrual PL_FCY (NI),Treasury_HK|Bond FVTPL|Bond_MF_Daily Interest Accrual PL_FCY (NI),
Treasury_HK,Bond FVTPL,Bond_MF_Daily Interest Accrual PL_FCY_ACCY,Treasury_HK|Bond FVTPL|Bond_MF_Daily Interest Accrual PL_FCY_ACCY,
Treasury_HK,Bond FVTPL,Bond_TD_Trade Date Sell RPL_FCY (NI),Treasury_HK|Bond FVTPL|Bond_TD_Trade Date Sell RPL_FCY (NI),
Treasury_HK,Bond FVTPL,Bond_TD_Trade Date Sell RPL_FCY_ACCY,Treasury_HK|Bond FVTPL|Bond_TD_Trade Date Sell RPL_FCY_ACCY,
Treasury_HK,Bond FVTPL,PSAK_MF_Pay Date Non-Attributable Fee (As Fee),Treasury_HK|Bond FVTPL|PSAK_MF_Pay Date Non-Attributable Fee (As Fee),
