VOLATILITY,,,,,,,,,,,,,,,,,,,,VOLPOINT,,/VOLPOINT,/VOLATILITY
BOND_VOL_TYPE,CALIBRATION_BOUND_FUNCTION,CALIBRATION_FILTER_FUNCTION,CURR.INSID,DATA,DOMESTIC_HOLIDAY_WEIGHT,DOMESTIC_WEEKEND_WEIGHT,EXPIRY_EXTRAPOLATION_METHOD,EXPIRY_INTERPOLATION_METHOD,FOREIGN_HOLIDAY_WEIGHT,FOREIGN_WEEKEND_WEIGHT,FRAMEWORK,INTERPOLATION_METHOD,KAPPA,RISK_TYPE,STRIKE_DIMENSION,STRIKE_TYPE,VOL_NAME,VOL_TYPE,VOL_VALUE_TYPE,INSADDR.INSID,VOLATILITY,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/25Y/20Y/ATM,0.00478,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/25Y/25Y/ATM,0.00472,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/25Y/2Y/ATM,0.00542,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/25Y/30Y/ATM,0.00468,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/25Y/3Y/ATM,0.00535,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/25Y/4Y/ATM,0.00532,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/25Y/5Y/ATM,0.00528,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/25Y/6Y/ATM,0.00525,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/25Y/7Y/ATM,0.00521,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/25Y/8Y/ATM,0.00518,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/25Y/9Y/ATM,0.00515,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/2Y/10Y/ATM,0.00806,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/2Y/15Y/ATM,0.00787,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/2Y/1Y/ATM,0.00877,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/2Y/20Y/ATM,0.00773,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/2Y/25Y/ATM,0.00766,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/2Y/2Y/ATM,0.00867,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/2Y/30Y/ATM,0.0076,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/2Y/3Y/ATM,0.00846,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/2Y/4Y/ATM,0.00836,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/2Y/5Y/ATM,0.0083,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/2Y/6Y/ATM,0.00824,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/2Y/7Y/ATM,0.00818,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/2Y/8Y/ATM,0.00813,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/2Y/9Y/ATM,0.0081,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/30Y/10Y/ATM,0.00496,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/30Y/15Y/ATM,0.00483,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/30Y/1Y/ATM,0.00543,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/30Y/20Y/ATM,0.00473,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/30Y/25Y/ATM,0.0047,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/30Y/2Y/ATM,0.0053,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/30Y/30Y/ATM,0.00468,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/30Y/3Y/ATM,0.0052,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/30Y/4Y/ATM,0.00516,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/30Y/5Y/ATM,0.00512,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/30Y/6Y/ATM,0.00508,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/30Y/7Y/ATM,0.00505,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/30Y/8Y/ATM,0.00502,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/30Y/9Y/ATM,0.00499,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/3M/10Y/ATM,0.00851,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/3M/15Y/ATM,0.00847,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/3M/1Y/ATM,0.00592,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/3M/20Y/ATM,0.00843,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/3M/25Y/ATM,0.00842,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/3M/2Y/ATM,0.0081,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/3M/30Y/ATM,0.0084,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/3M/3Y/ATM,0.00844,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/3M/4Y/ATM,0.00859,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/3M/5Y/ATM,0.00865,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/3M/6Y/ATM,0.00861,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/3M/7Y/ATM,0.00857,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/3M/8Y/ATM,0.00855,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/3M/9Y/ATM,0.00853,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/3Y/10Y/ATM,0.00778,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/3Y/15Y/ATM,0.00758,,
