VOLATILITY,,,,,,,,,,,,,,,,,,,VOLPOINT,,/VOLPOINT,/VOLATILITY
BOND_VOL_TYPE,CALIBRATION_BOUND_FUNCTION,CALIBRATION_FILTER_FUNCTION,CURR.INSID,DATA,DOMESTIC_HOLIDAY_WEIGHT,DOMESTIC_WEEKEND_WEIGHT,EXPIRY_EXTRAPOLATION_METHOD,EXPIRY_INTERPOLATION_METHOD,FOREIGN_HOLIDAY_WEIGHT,FOREIGN_WEEKEND_WEIGHT,FRAMEWORK,INTERPOLATION_METHOD,RISK_TYPE,STRIKE_DIMENSION,STRIKE_TYPE,VOL_NAME,VOL_TYPE,VOL_VALUE_TYPE,INSADDR.INSID,VOLATILITY,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/1Y/1Y/ATM,0.00771,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/1Y/20Y/ATM,0.00788,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/1Y/25Y/ATM,0.00783,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/1Y/2Y/ATM,0.00819,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/1Y/30Y/ATM,0.00779,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/1Y/3Y/ATM,0.00816,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/1Y/4Y/ATM,0.00824,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/1Y/5Y/ATM,0.00827,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/1Y/6Y/ATM,0.00822,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/1Y/7Y/ATM,0.00817,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/1Y/8Y/ATM,0.00814,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/1Y/9Y/ATM,0.00812,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/20Y/10Y/ATM,0.00541,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/20Y/15Y/ATM,0.00516,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/20Y/1Y/ATM,0.006,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/20Y/20Y/ATM,0.00501,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/20Y/25Y/ATM,0.00494,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/20Y/2Y/ATM,0.00574,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/20Y/30Y/ATM,0.0049,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/20Y/3Y/ATM,0.00567,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/20Y/4Y/ATM,0.00563,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/20Y/5Y/ATM,0.0056,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/20Y/6Y/ATM,0.00556,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/20Y/7Y/ATM,0.00552,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/20Y/8Y/ATM,0.00548,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/20Y/9Y/ATM,0.00545,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/25Y/10Y/ATM,0.00509,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/25Y/15Y/ATM,0.00486,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/25Y/1Y/ATM,0.00564,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/25Y/20Y/ATM,0.00474,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/25Y/25Y/ATM,0.00469,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/25Y/2Y/ATM,0.0054,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/25Y/30Y/ATM,0.00465,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/25Y/3Y/ATM,0.00533,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/25Y/4Y/ATM,0.00529,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/25Y/5Y/ATM,0.00525,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/25Y/6Y/ATM,0.00522,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/25Y/7Y/ATM,0.00518,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/25Y/8Y/ATM,0.00515,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/25Y/9Y/ATM,0.00512,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/2Y/10Y/ATM,0.008,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/2Y/15Y/ATM,0.00782,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/2Y/1Y/ATM,0.00868,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/2Y/20Y/ATM,0.00768,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/2Y/25Y/ATM,0.00761,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/2Y/2Y/ATM,0.00861,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/2Y/30Y/ATM,0.00755,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/2Y/3Y/ATM,0.00839,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/2Y/4Y/ATM,0.00829,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/2Y/5Y/ATM,0.00823,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/2Y/6Y/ATM,0.00817,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/2Y/7Y/ATM,0.00811,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/2Y/8Y/ATM,0.00807,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/2Y/9Y/ATM,0.00803,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/30Y/10Y/ATM,0.00492,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/30Y/15Y/ATM,0.00479,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/30Y/1Y/ATM,0.00544,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/30Y/20Y/ATM,0.0047,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/30Y/25Y/ATM,0.00466,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/30Y/2Y/ATM,0.00528,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/30Y/30Y/ATM,0.00464,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/30Y/3Y/ATM,0.00518,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/30Y/4Y/ATM,0.00514,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/30Y/5Y/ATM,0.00509,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/30Y/6Y/ATM,0.00506,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/30Y/7Y/ATM,0.00502,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/30Y/8Y/ATM,0.00499,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/30Y/9Y/ATM,0.00495,,
