CALENDAR,,,,,CALENDARDATE,,/CALENDARDATE,/CALENDAR
BUSINESS_CENTER,CALID,DESCRIPTION,SPOT_BANKING_DAYS,WEEKEND_DAYS,DAYNBR,DESCRIPTION,,
,,,,,2039-12-27,Boxing Day OBS,,
,,,,,2040-01-02,New Year's Day OBS,,
,,,,,2040-02-20,Family Day,,
,,,,,2040-03-30,Good Friday,,
,,,,,2040-05-21,Victoria/Patriots' Day,,
,,,,,2040-07-02,Canada Day OBS,,
,,,,,2040-08-06,Civic Holiday,,
,,,,,2040-09-03,Labour Day,,
,,,,,2040-10-08,Thanksgiving,,
,,,,,2040-11-12,Remembrance Day OBS,,
,,,,,2040-12-25,Christmas,,
,,,,,2040-12-26,Boxing Day,,
,,,,,2041-01-01,New Year's Day,,
,,,,,2041-02-18,Family Day,,
,,,,,2041-04-19,Good Friday,,
,,,,,2041-05-20,Victoria/Patriots' Day,,
,,,,,2041-07-01,Canada Day,,
,,,,,2041-08-05,Civic Holiday,,
,,,,,2041-09-02,Labour Day,,
,,,,,2041-10-14,Thanksgiving,,
,,,,,2041-11-11,Remembrance Day,,
,,,,,2041-12-25,Christmas,,
,,,,,2041-12-26,Boxing Day,,
,,,,,2042-01-01,New Year's Day,,
,,,,,2042-02-17,Family Day,,
,,,,,2042-04-04,Good Friday,,
,,,,,2042-05-19,Victoria/Patriots' Day,,
,,,,,2042-07-01,Canada Day,,
,,,,,2042-08-04,Civic Holiday,,
,,,,,2042-09-01,Labour Day,,
,,,,,2042-10-13,Thanksgiving,,
,,,,,2042-11-11,Remembrance Day,,
,,,,,2042-12-25,Christmas,,
,,,,,2042-12-26,Boxing Day,,
,,,,,2043-01-01,New Year's Day,,
,,,,,2043-02-16,Family Day,,
,,,,,2043-03-27,Good Friday,,
,,,,,2043-05-18,Victoria/Patriots' Day,,
,,,,,2043-07-01,Canada Day,,
,,,,,2043-08-03,Civic Holiday,,
,,,,,2043-09-07,Labour Day,,
,,,,,2043-10-12,Thanksgiving,,
,,,,,2043-11-11,Remembrance Day,,
,,,,,2043-12-25,Christmas,,
,,,,,2043-12-28,Boxing Day OBS,,
,,,,,2044-01-01,New Year's Day,,
,,,,,2044-02-15,Family Day,,
,,,,,2044-04-15,Good Friday,,
,,,,,2044-05-23,Victoria/Patriots' Day,,
,,,,,2044-07-01,Canada Day,,
,,,,,2044-08-01,Civic Holiday,,
,,,,,2044-09-05,Labour Day,,
,,,,,2044-10-10,Thanksgiving,,
,,,,,2044-11-11,Remembrance Day,,
,,,,,2044-12-26,Christmas OBS,,
,,,,,2044-12-27,Boxing Day OBS,,
,,,,,2045-01-02,New Year's Day OBS,,
,,,,,2045-02-20,Family Day,,
,,,,,2045-04-07,Good Friday,,
,,,,,2045-05-22,Victoria/Patriots' Day,,
,,,,,2045-07-03,Canada Day OBS,,
,,,,,2045-08-07,Civic Holiday,,
,,,,,2045-09-04,Labour Day,,
,,,,,2045-10-09,Thanksgiving,,
,,,,,2045-11-13,Remembrance Day OBS,,
,,,,,2045-12-25,Christmas,,
,,,,,2045-12-26,Boxing Day,,
,,,,,2046-01-01,New Year's Day,,
,,,,,2046-02-19,Family Day,,
,,,,,2046-03-23,Good Friday,,
,,,,,2046-05-21,Victoria/Patriots' Day,,
,,,,,2046-07-02,Canada Day OBS,,
,,,,,2046-08-06,Civic Holiday,,
,,,,,2046-09-03,Labour Day,,
,,,,,2046-10-08,Thanksgiving,,
,,,,,2046-11-12,Remembrance Day OBS,,
,,,,,2046-12-25,Christmas,,
,,,,,2046-12-26,Boxing Day,,
,,,,,2047-01-01,New Year's Day,,
,,,,,2047-02-18,Family Day,,
,,,,,2047-04-12,Good Friday,,
,,,,,2047-05-20,Victoria/Patriots' Day,,
,,,,,2047-07-01,Canada Day,,
,,,,,2047-08-05,Civic Holiday,,
,,,,,2047-09-02,Labour Day,,
,,,,,2047-10-14,Thanksgiving,,
,,,,,2047-11-11,Remembrance Day,,
,,,,,2047-12-25,Christmas,,
,,,,,2047-12-26,Boxing Day,,
