CALENDAR,,,,,CALENDARDATE,,/CALENDARDATE,/CALENDAR
BUSINESS_CENTER,CALID,DESCRIPTION,SPOT_BANKING_DAYS,WEEKEND_DAYS,DAYNBR,DESCRIPTION,,
,,,,,2041-06-10,Queen's Birthday,,
,,,,,2041-08-05,Bank Holiday - NSW,,
,,,,,2041-10-07,Labour Day - NSW,,
,,,,,2041-12-25,Christmas Day,,
,,,,,2041-12-26,Boxing Day,,
,,,,,2042-01-01,New Year's Day,,
,,,,,2042-01-27,Australia Day OBS,,
,,,,,2042-04-04,Good Friday,,
,,,,,2042-04-05,Easter Saturday,,
,,,,,2042-04-07,Easter Monday,,
,,,,,2042-04-25,ANZAC Day,,
,,,,,2042-06-09,Queen's Birthday,,
,,,,,2042-08-04,Bank Holiday - NSW,,
,,,,,2042-10-06,Labour Day - NSW,,
,,,,,2042-12-25,Christmas Day,,
,,,,,2042-12-26,Boxing Day,,
,,,,,2043-01-01,New Year's Day,,
,,,,,2043-01-26,Australia Day,,
,,,,,2043-03-27,Good Friday,,
,,,,,2043-03-28,Easter Saturday,,
,,,,,2043-03-30,Easter Monday,,
,,,,,2043-04-25,ANZAC Day,,
,,,,,2043-06-08,Queen's Birthday,,
,,,,,2043-08-03,Bank Holiday - NSW,,
,,,,,2043-10-05,Labour Day - NSW,,
,,,,,2043-12-25,Christmas Day,,
,,,,,2043-12-28,Boxing Day OBS,,
,,,,,2044-01-01,New Year's Day,,
,,,,,2044-01-26,Australia Day,,
,,,,,2044-04-15,Good Friday,,
,,,,,2044-04-16,Easter Saturday,,
,,,,,2044-04-18,Easter Monday,,
,,,,,2044-04-25,ANZAC Day,,
,,,,,2044-06-13,Queen's Birthday,,
,,,,,2044-08-01,Bank Holiday - NSW,,
,,,,,2044-10-03,Labour Day - NSW,,
,,,,,2044-12-26,Christmas Day OBS,,
,,,,,2044-12-27,Boxing Day OBS,,
,,,,,2045-01-02,New Year's Day OBS,,
,,,,,2045-01-26,Australia Day,,
,,,,,2045-04-07,Good Friday,,
,,,,,2045-04-08,Easter Saturday,,
,,,,,2045-04-10,Easter Monday,,
,,,,,2045-04-25,ANZAC Day,,
,,,,,2045-06-12,Queen's Birthday,,
,,,,,2045-08-07,Bank Holiday - NSW,,
,,,,,2045-10-02,Labour Day - NSW,,
,,,,,2045-12-25,Christmas Day,,
,,,,,2045-12-26,Boxing Day,,
,,,,,2046-01-01,New Year's Day,,
,,,,,2046-01-26,Australia Day,,
,,,,,2046-03-23,Good Friday,,
,,,,,2046-03-24,Easter Saturday,,
,,,,,2046-03-26,Easter Monday,,
,,,,,2046-04-25,ANZAC Day,,
,,,,,2046-06-11,Queen's Birthday,,
,,,,,2046-08-06,Bank Holiday - NSW,,
,,,,,2046-10-01,Labour Day - NSW,,
,,,,,2046-12-25,Christmas Day,,
,,,,,2046-12-26,Boxing Day,,
,,,,,2047-01-01,New Year's Day,,
,,,,,2047-01-28,Australia Day OBS,,
,,,,,2047-04-12,Good Friday,,
,,,,,2047-04-13,Easter Saturday,,
,,,,,2047-04-15,Easter Monday,,
,,,,,2047-04-25,ANZAC Day,,
,,,,,2047-06-10,Queen's Birthday,,
,,,,,2047-08-05,Bank Holiday - NSW,,
,,,,,2047-10-07,Labour Day - NSW,,
,,,,,2047-12-25,Christmas Day,,
,,,,,2047-12-26,Boxing Day,,
