CONTEXT,CONTEXTLINK,,,,,,,,,,,,,,/CONTEXTLINK,/CONTEXT
NAME,DISC_TYPE_CHLNBR.ENTRY,INSADDR.INSID,GROUP_CHLNBR.ENTRY,PRFNBR.ASSINF,ATTRIBUTE0,DISC_TYPE_CHLNBR.LIST,PRFNBR.PRFID,GROUP_CHLNBR.LIST,NAME,INSADDR.ISIN,CURR.INSID,ATTRIBUTE_TYPE0,MAPPING_TYPE,TYPE,,
,COLL-USD,,,,,DiscType,,,EUR-COLL-USD,,EUR,,Instrument,Yield Curve,,
,,,CCS-Basis,,,,,ValGroup,EUR-COLL-USD,,EUR,,Val Group,Yield Curve,,
,COLL-USD,USD,,,,DiscType,,,EUR-COLL-USD,,EUR,,Instrument,Yield Curve,,
,,EBA SP SMF BTN 05 A2,,,,,,,MBS_IS_IDR_Curve,,IDR,,Instrument,Yield Curve,,
,,EBA SP SMF BTN 05 A1,,,,,,,MBS_IS_IDR_Curve,,IDR,,Instrument,Yield Curve,,
,,TPS EBA,,,,,,,MBS_IS_IDR_Curve,,IDR,,Instrument,Yield Curve,,
,,,,,MBS/ABS,,,,Theoretical Equals Market,,,Instrument Type,Attribute1,Price Base,,
,,,,,FRN,,,,Theoretical Equals Market,,,Instrument Type,Attribute1,Price Base,,
,,,,,Bill,,,,Theoretical Equals Market,,,Instrument Type,Attribute1,Price Base,,
,,,,,Bond,,,,Theoretical Equals Market,,,Instrument Type,Attribute1,Price Base,,
,,,AutoCallableBasket,,,,,ValGroup,udmcAutocallableBasket,,,,Val Group,Valuation Extension,,
,,,AccDec,,,,,ValGroup,accDecModelDesc,,,,Val Group,Valuation Extension,,
,,TESTING TQA ROLLOVER,,,,,,,testing rollover,,,,Instrument,Funding Parameter,,
,,TQA TESTING ROLLOVER,,,,,,,testing rollover,IDG00001370XXX,,,Instrument,Funding Parameter,,
,,TESTING TQA ROLLOVER1,,,,,,,testing rollover,,,,Instrument,Funding Parameter,,
,,IDR/BD/IDG000013707/250615/6.50/#2,,,,,,,testing rollover,,,,Instrument,Funding Parameter,,
,,TESTING ROLLOVER TQA MM,,,,,,,testing rollover mm,123567MM,,,Instrument,Funding Parameter,,
,,,,BB BOND PL,,,BB BOND PL,,ACCOUNTING PL,,,,Portfolio,Accounting Parameter,,
,,,,BB BOND SHARIA PL,,,BB BOND SHARIA PL,,ACCOUNTING_SHARIAH PL,,,,Portfolio,Accounting Parameter,,
,,,,BB BOND SHARIA OCI,,,BB BOND SHARIA OCI,,ACCOUNTING_SHARIAH AC/OCI,,,,Portfolio,Accounting Parameter,,
,,,,BB BOND SHARIA AC,,,BB BOND SHARIA AC,,ACCOUNTING_SHARIAH AC/OCI,,,,Portfolio,Accounting Parameter,,
,,,,IRT DCM 8,,,IRT DCM 8,,ACCOUNTING PL,,,,Portfolio,Accounting Parameter,,
,,,,IRT DCM 7,,,IRT DCM 7,,ACCOUNTING PL,,,,Portfolio,Accounting Parameter,,
,,,,IRT DCM 6,,,IRT DCM 6,,ACCOUNTING PL,,,,Portfolio,Accounting Parameter,,
,,,,IRT DCM 5,,,IRT DCM 5,,ACCOUNTING PL,,,,Portfolio,Accounting Parameter,,
,,,,IRT DCM 4,,,IRT DCM 4,,ACCOUNTING PL,,,,Portfolio,Accounting Parameter,,
,,,,IRT DCM 3,,,IRT DCM 3,,ACCOUNTING PL,,,,Portfolio,Accounting Parameter,,
,,,,IRT DCM 2,,,IRT DCM 2,,ACCOUNTING PL,,,,Portfolio,Accounting Parameter,,
,,,,IRT DCM 1,,,IRT DCM 1,,ACCOUNTING PL,,,,Portfolio,Accounting Parameter,,
,,,,IRT Dept Head Bond RDPU Der,,,IRT Dept Head Bond RDPU Der,,ACCOUNTING PL,,,,Portfolio,Accounting Parameter,,
,,,,Commercial 6,,,Commercial 6,,ACCOUNTING AC/OCI,,,,Portfolio,Accounting Parameter,,
,,,,Commercial 5,,,Commercial 5,,ACCOUNTING AC/OCI,,,,Portfolio,Accounting Parameter,,
,,,,Commercial 4,,,Commercial 4,,ACCOUNTING AC/OCI,,,,Portfolio,Accounting Parameter,,
,,,,Commercial 3,,,Commercial 3,,ACCOUNTING AC/OCI,,,,Portfolio,Accounting Parameter,,
,,,,Commercial 2,,,Commercial 2,,ACCOUNTING AC/OCI,,,,Portfolio,Accounting Parameter,,
,,,,Commercial 1,,,Commercial 1,,ACCOUNTING AC/OCI,,,,Portfolio,Accounting Parameter,,
,,,,GVI 2,,,GVI 2,,ACCOUNTING AC/OCI,,,,Portfolio,Accounting Parameter,,
,,,,GVI 1,,,GVI 1,,ACCOUNTING AC/OCI,,,,Portfolio,Accounting Parameter,,
,,,,CB 6,,,CB 6,,ACCOUNTING AC/OCI,,,,Portfolio,Accounting Parameter,,
,,,,CB 5,,,CB 5,,ACCOUNTING AC/OCI,,,,Portfolio,Accounting Parameter,,
,,,,CB 4,,,CB 4,,ACCOUNTING AC/OCI,,,,Portfolio,Accounting Parameter,,
,,,,CB 3,,,CB 3,,ACCOUNTING AC/OCI,,,,Portfolio,Accounting Parameter,,
,,,,CB 2,,,CB 2,,ACCOUNTING AC/OCI,,,,Portfolio,Accounting Parameter,,
,,,,CB 1,,,CB 1,,ACCOUNTING AC/OCI,,,,Portfolio,Accounting Parameter,,
,,,,IRT MM Bond RDPU 3,,,IRT MM Bond RDPU 3,,ACCOUNTING PL,,,,Portfolio,Accounting Parameter,,
,,,,IRT MM Bond RDPU 2,,,IRT MM Bond RDPU 2,,ACCOUNTING PL,,,,Portfolio,Accounting Parameter,,
,,,,IRT MM Bond RDPU 1,,,IRT MM Bond RDPU 1,,ACCOUNTING PL,,,,Portfolio,Accounting Parameter,,
,,,,SAM 3,,,SAM 3,,ACCOUNTING AC/OCI,,,,Portfolio,Accounting Parameter,,
,,,,SAM 2,,,SAM 2,,ACCOUNTING AC/OCI,,,,Portfolio,Accounting Parameter,,
,,,,SAM 1,,,SAM 1,,ACCOUNTING AC/OCI,,,,Portfolio,Accounting Parameter,,
,,,,IRT DCM 10 - Testing Only,,,IRT DCM 10,,ACCOUNTING PL,,,,Portfolio,Accounting Parameter,,
,,,,BB BOND OCI 2,,,BB BOND OCI 2,,ACCOUNTING AC/OCI,,,,Portfolio,Accounting Parameter,,
,,,,BB BOND AC 2,,,BB BOND AC 2,,ACCOUNTING AC/OCI,,,,Portfolio,Accounting Parameter,,
,,,,BB BOND AC,,,BB BOND AC,,ACCOUNTING AC/OCI,,,,Portfolio,Accounting Parameter,,
,,,,ALM Repo C3,,,ALM Repo C3,,ACCOUNTING AC/OCI,,,,Portfolio,Accounting Parameter,,
