TACCOUNT,,,,,,,,/TACCOUNT
DESCRIPTION,CATEGORY_CHLNBR.LIST,ACTIVE,NUMBER,NAME,REPORTING_CLASS,CATEGORY_CHLNBR.ENTRY,TYPE,
EFEK-EFEK DIPERDAGANGKAN SURAT BERHARGA PASAR MODAL (SBPM) SAHAM,TAccount Category,Yes,13013301,EFEK2 DIPERDAG. SBPM SAHAM,TAccount,Balance Sheet,Asset,
GIRO PADA BANK INDONESIA,TAccount Category,Yes,11511101,GIRO PADA BANK INDONESIA,TAccount,Balance Sheet,Asset,
GIRO PADA BANK INDONESIA (INTERFACE DARI OPICS),TAccount Category,Yes,11511102,GIRO PADA BANK INDONESIA (INTFACE OPICS),TAccount,Balance Sheet,Asset,
GIRO PADA BANK LAIN,TAccount Category,Yes,12011101,GIRO PADA BANK LAIN,TAccount,Balance Sheet,Asset,
GIRO PADA BI - BI FAST,TAccount Category,Yes,11511104,GIRO PADA BI - BI FAST,TAccount,Balance Sheet,Asset,
GIRO PADA BI - VALAS (INTFACE OPICS),TAccount Category,Yes,11511105,GIRO PADA BI - VALAS (INTFACE OPICS),TAccount,Balance Sheet,Asset,
KONTRAK OPTION - BUY CALL - KONTRA,TAccount Category,Yes,81512801,KONT - OPTION - BUY CALL - KONTRA,TAccount,Off Balance Sheet,Contra Asset,
KONTRAK- OPTION - BUY PUT -  KONTRA,TAccount Category,Yes,91512901,KONT - OPTION - BUY PUT -  KONTRA,TAccount,Off Balance Sheet,Contra Liability,
KONTRAK - OPTION - BUY PUT,TAccount Category,Yes,71512901,KONT - OPTION - BUY PUT,TAccount,Off Balance Sheet,Off Balance Sheet Liability,
KONTRAK - OPTION - SELL CALL - KONTRA,TAccount Category,Yes,91512801,KONT - OPTION - SELL CALL - KONTRA,TAccount,Off Balance Sheet,Contra Liability,
KONTRAK - OPTION - SELL CALL,TAccount Category,Yes,71512801,KONT - OPTION - SELL CALL,TAccount,Off Balance Sheet,Off Balance Sheet Liability,
KONTRAK OPTION - SELL PUT - KONTRA,TAccount Category,Yes,81512901,KONT - OPTION - SELL PUT -  KONTRA,TAccount,Off Balance Sheet,Contra Asset,
KONTRAK PEMBELIAN TERKAIT DENGAN NILAI TUKAR (TDNT) DIGITAL OPTION HEDGING -KONTRA,TAccount Category,Yes,81511701,KONT PEMB TDNT DIG OPTION HEDGING KONTRA,TAccount,Off Balance Sheet,Contra Asset,
KONTRAK PEMBELIAN TERKAIT DENGAN NILAI TUKAR (TDNT) DIGITAL OPTION TRADING - KONTRA,TAccount Category,Yes,81512701,KONT PEMB TDNT DIG OPTION TRADING KONTRA,TAccount,Off Balance Sheet,Contra Asset,
KONTRAK PEMBELIAN TERKAIT DENGAN NILAI TUKAR (TDNT) DIGITAL OPTION HEDGING,TAccount Category,Yes,61511701,KONT PEMB TDNT DIGITAL OPTION HEDGING,TAccount,Off Balance Sheet,Off Balance Sheet Asset,
KONTRAK PEMBELIAN TERKAIT DENGAN NILAI TUKAR (TDNT) DIGITAL OPTION TRADING,TAccount Category,Yes,61512701,KONT PEMB TDNT DIGITAL OPTION TRADING,TAccount,Off Balance Sheet,Off Balance Sheet Asset,
KONTRAK PEMBELIAN TERKAIT DENGAN NILAI TUKAR (TDNT) OPTION CALL HEDGING -KONTRA,TAccount Category,Yes,81511301,KONT PEMB TDNT OPTION CALL HEDG KONTRA,TAccount,Off Balance Sheet,Contra Asset,
KONTRAK PEMBELIAN TERKAIT DENGAN NILAI TUKAR (TDNT) OPTION CALL TRADING -KONTRA,TAccount Category,Yes,81512301,KONT PEMB TDNT CALL OPTION TRADING KONTRA,TAccount,Off Balance Sheet,Contra Asset,
KONTRAK PEMBELIAN TERKAIT DENGAN NILAI TUKAR (TDNT) OPTION CALL TRADING,TAccount Category,Yes,61512301,KONT PEMB TDNT CALL OPTION TRADING,TAccount,Off Balance Sheet,Off Balance Sheet Asset,
KONTRAK PEMBELIAN TERKAIT DENGAN NILAI TUKAR (TDNT) OPTION CALL HEDGING,TAccount Category,Yes,61511301,KONT PEMB TDNT OPTION PURCHASED HEDGING,TAccount,Off Balance Sheet,Off Balance Sheet Asset,
KONTRAK PEMBELIAN TERKAIT DENGAN NILAI TUKAR (TDNT) OPTION PUT HEDGING,TAccount Category,Yes,61511401,KONT PEMB TDNT OPTION PUT HEDGING,TAccount,Off Balance Sheet,Off Balance Sheet Asset,
KONTRAK PEMBELIAN TERKAIT DENGAN NILAI TUKAR (TDNT) OPTION PUT TRADING,TAccount Category,Yes,61512401,KONT PEMB TDNT PUT OPTION TRADING,TAccount,Off Balance Sheet,Off Balance Sheet Asset,
KONTRAK PEMBELIAN TERKAIT DENGAN NILAI TUKAR (TDNT) OPTION PUT TRADING -KONTRA,TAccount Category,Yes,81512401,KONT PEMB TDNT PUT OPTION TRADING KONTRA,TAccount,Off Balance Sheet,Contra Asset,
KONTRAK PEMBELIAN TERKAIT DENGAN SUKU BUNGA (TDSB) FORWARD RATE AGREEMENT (FRA) HEDGING,TAccount Category,Yes,61521201,KONT PEMB TDSB FORWARD RATE AGREMENT HED,TAccount,Off Balance Sheet,Off Balance Sheet Asset,
KONTRAK PEMBELIAN TERKAIT DENGAN SUKU BUNGA (TDSB) FORWARD RATE AGREEMENT (FRA) HEDGING - KONTRA,TAccount Category,Yes,81521201,KONT PEMB TDSB FRA HEDGING KONTRA,TAccount,Off Balance Sheet,Contra Asset,
KONTRAK PEMBELIAN TERKAIT DENGAN SUKU BUNGA (TDSB) INTEREST RATE CAP HEDGING - KONTRA,TAccount Category,Yes,81521101,KONT PEMB TDSB INT RATE CAP HEDG KONTRA,TAccount,Off Balance Sheet,Contra Asset,
KONTRAK PEMBELIAN TERKAIT DENGAN SUKU BUNGA (TDSB) INTEREST RATE CAP TRADING - KONTRA,TAccount Category,Yes,81522101,KONT PEMB TDSB INT RATE CAP TRA KONTRA,TAccount,Off Balance Sheet,Contra Asset,
KONTRAK PEMBELIAN TERKAIT DENGAN SUKU BUNGA (TDSB) INTEREST RATE CAP HEDGING,TAccount Category,Yes,61521101,KONT PEMB TDSB INTEREST RATE CAP HEDGING,TAccount,Off Balance Sheet,Off Balance Sheet Asset,
KONTRAK PEMBELIAN TERKAIT DENGAN SUKU BUNGA (TDSB) INTEREST RATE CAP TRADING,TAccount Category,Yes,61522101,KONT PEMB TDSB INTEREST RATE CAP TRADING,TAccount,Off Balance Sheet,Off Balance Sheet Asset,
KONTRAK PEMBELIAN TERKAIT DENGAN SUKU BUNGA (TDSB) INTEREST RATE SWAP (IRS) HEDGING,TAccount Category,Yes,61521601,KONT PEMB TDSB INTEREST RATE SWAP,TAccount,Off Balance Sheet,Off Balance Sheet Asset,
KONTRAK PEMBELIAN TERKAIT DENGAN SUKU BUNGA (TDSB) INTEREST RATE SWAP (IRS) HEDGING - KONTRA,TAccount Category,Yes,81521601,KONT PEMB TDSB INTEREST RATE SWAP,TAccount,Off Balance Sheet,Contra Asset,
KONTRAK PENJUALAN TERKAIT DENGAN NILAI TUKAR (TDNT) DIGITAL OPTION HEDGING - KONTRA,TAccount Category,Yes,91511701,KONT PENJ TDNT DIG OPTION HEDGING KONTRA,TAccount,Off Balance Sheet,Contra Liability,
KONTRAK PENJUALAN TERKAIT DENGAN NILAI TUKAR (TDNT) DIGITAL OPTION HEDGING,TAccount Category,Yes,71511701,KONT PENJ TDNT DIGITAL OPTION HEDGING,TAccount,Off Balance Sheet,Off Balance Sheet Liability,
KONTRAK PENJUALAN TERKAIT DENGAN NILAI TUKAR (TDNT) DIGITAL OPTION TRADING - KONTRA,TAccount Category,Yes,91512701,KONT PENJ TDNT DIGITAL OPTION TRA KONTRA,TAccount,Off Balance Sheet,Contra Liability,
KONTRAK PENJUALAN TERKAIT DENGAN NILAI TUKAR (TDNT) DIGITAL OPTION TRADING,TAccount Category,Yes,71512701,KONT PENJ TDNT DIGITAL OPTION TRADING,TAccount,Off Balance Sheet,Off Balance Sheet Liability,
KONTRAK PENJUALAN TERKAIT DENGAN NILAI TUKAR (TDNT) OPTION CALL HEDGING,TAccount Category,Yes,71511301,KONT PENJ TDNT OPTION CALL HEDGING,TAccount,Off Balance Sheet,Off Balance Sheet Liability,
KONTRAK PENJUALAN TERKAIT DENGAN NILAI TUKAR (TDNT) OPTION CALL TRADING,TAccount Category,Yes,71512301,KONT PENJ TDNT OPTION CALL TRADING,TAccount,Off Balance Sheet,Off Balance Sheet Liability,
KONTRAK PENJUALAN TERKAIT DENGAN NILAI TUKAR (TDNT) OPTION CALL TRADING - KONTRA,TAccount Category,Yes,91512301,KONT PENJ TDNT OPTION CALL TRADING KONT,TAccount,Off Balance Sheet,Contra Liability,
KONTRAK PENJUALAN TERKAIT DENGAN NILAI TUKAR (TDNT) OPTION PUT HEDGING,TAccount Category,Yes,71511401,KONT PENJ TDNT OPTION PUT HEDGING,TAccount,Off Balance Sheet,Off Balance Sheet Liability,
KONTRAK PENJUALAN TERKAIT DENGAN NILAI TUKAR (TDNT) OPTION PUT TRADING,TAccount Category,Yes,71512401,KONT PENJ TDNT OPTION WRITTEN TRADING,TAccount,Off Balance Sheet,Off Balance Sheet Liability,
KONTRAK PENJUALAN TERKAIT DENGAN NILAI TUKAR (TDNT) OPTION  PUT TRADING - KONTRA,TAccount Category,Yes,91512401,KONT PENJ TDNT OPTION WRITTEN TRADING,TAccount,Off Balance Sheet,Contra Liability,
KONTRAK PENJUALAN TERKAIT DENGAN SUKU BUNGA (TDSB) FORWARD RATE AGREEMENT (FRA) HEDGING - KONTRA,TAccount Category,Yes,91521201,KONT PENJ TDSB FRA HEDG KONTRA,TAccount,Off Balance Sheet,Contra Liability,
KONTRAK PENJUALAN TERKAIT DENGAN SUKU BUNGA (TDSB) FORWARD RATE AGREEMENT (FRA) HEDGING,TAccount Category,Yes,71521201,KONT PENJ TDSB FRA HEDGING,TAccount,Off Balance Sheet,Off Balance Sheet Liability,
KONTRAK PENJUALAN TERKAIT DENGAN SUKU BUNGA (TDSB) INTEREST RATE CAP HEDGING,TAccount Category,Yes,71521101,KONT PENJ TDSB INTEREST RATE CAP HED,TAccount,Off Balance Sheet,Off Balance Sheet Liability,
KONTRAK PENJUALAN TERKAIT DENGAN SUKU BUNGA (TDSB) INTEREST RATE CAP HEDGING - KONTRA,TAccount Category,Yes,91521101,KONT PENJ TDSB INTEREST RATE CAP HEDG K,TAccount,Off Balance Sheet,Contra Liability,
KONTRAK PENJUALAN TERKAIT DENGAN SUKU BUNGA (TDSB)  INTEREST RATE CAP TRADING,TAccount Category,Yes,71522101,KONT PENJ TDSB INTEREST RATE CAP TRA,TAccount,Off Balance Sheet,Off Balance Sheet Liability,
KONTRAK PENJUALAN TERKAIT DENGAN SUKU BUNGA (TDSB)  INTEREST RATE CAP TRADING - KONTRA,TAccount Category,Yes,91522101,KONT PENJ TDSB INTEREST RATE CAP TRA K,TAccount,Off Balance Sheet,Contra Liability,
KONTRAK PENJUALAN TERKAIT DENGAN SUKU BUNGA (TDSB) INTEREST RATE SWAP HEDGING - KONTRA,TAccount Category,Yes,91521601,KONT PENJ TDSB IRS HEDG KONTRA,TAccount,Off Balance Sheet,Contra Liability,
KONTRAK PENJUALAN TERKAIT DENGAN SUKU BUNGA (TDSB) INTEREST RATE SWAP HEDGING,TAccount Category,Yes,71521601,KONT PENJ TDSB IRS HEDGING,TAccount,Off Balance Sheet,Off Balance Sheet Liability,
KONTRAK OPTION - BUY CALL,TAccount Category,Yes,61512801,KONTRAK OPTION - BUY CALL,TAccount,Off Balance Sheet,Off Balance Sheet Asset,
KONTRAK OPTION - SELL PUT,TAccount Category,Yes,61512901,KONTRAK OPTION - SELL PUT,TAccount,Off Balance Sheet,Off Balance Sheet Asset,
KONTRAK PEMBELIAN TERKAIT DENGAN SUKU BUNGA (TDSB) DIGITAL OPTION TRADING - KONTRA,TAccount Category,Yes,81522701,KONTRAK PEMB TDSB DGTL OPT TRDNG - KONTR,TAccount,Off Balance Sheet,Contra Asset,
KONTRAK PEMBELIAN TERKAIT DENGAN SUKU BUNGA (TDSB) DIGITAL OPTION TRADING,TAccount Category,Yes,61522701,KONTRAK PEMBELIAN TDSB DGTL OPT TRDNG,TAccount,Off Balance Sheet,Off Balance Sheet Asset,
KONTRAK PENJUALAN TERKAIT DENGAN SUKU BUNGA (TDSB) DIGITAL OPTION TRADING - KONTRA,TAccount Category,Yes,91522701,KONTRAK PENJ TDSB - DGTL OPT TRDNG - KON,TAccount,Off Balance Sheet,Contra Liability,
KONTRAK PENJUALAN TERKAIT DENGAN SUKU BUNGA (TDSB) DIGITAL OPTION TRADING,TAccount Category,Yes,71522701,KONTRAK PENJUALAN TDSB,TAccount,Off Balance Sheet,Off Balance Sheet Liability,
KREDIT YANG DIBERIKAN (KYD) TRANSAKSI TREASURY,TAccount Category,Yes,15014001,KYD TRANSAKSI TREASURY,TAccount,Balance Sheet,Asset,
LABA TAHUN LALU,TAccount Category,Yes,34511101,LABA TAHUN LALU,TAccount,Balance Sheet,Equity,
LIABILITAS DERIVATIF TERKAIT DENGAN NILAI TUKAR (TDNT) DIGITAL OPTION TRADING,TAccount Category,Yes,23012701,LIAB DER TDNT DIGITAL OPTION TRADING,TAccount,Balance Sheet,Liability,
LIABILITAS DERIVATIF TERKAIT DENGAN NILAI TUKAR (TDNT) FORWARD HEDGING,TAccount Category,Yes,23011201,LIAB DER TDNT FORWARD HEDGING,TAccount,Balance Sheet,Liability,
LIABILITAS DERIVATIF TERKAIT DENGAN NILAI TUKAR (TDNT) FUTURE HEDGING,TAccount Category,Yes,23011501,LIAB DER TDNT FUTURE HEDGING,TAccount,Balance Sheet,Liability,
LIABILITAS DERIVATIF TERKAIT DENGAN NILAI TUKAR (TDNT) FUTURE TRADING,TAccount Category,Yes,23012501,LIAB DER TDNT FUTURE TRADING,TAccount,Balance Sheet,Liability,
LIABILITAS DERIVATIF TERKAIT DENGAN NILAI TUKAR (TDNT) OPTION PURCHASED HEDGING,TAccount Category,Yes,23011301,LIAB DER TDNT OPTION PURCHASED HEDGING,TAccount,Balance Sheet,Liability,
LIABILITAS DERIVATIF TERKAIT DENGAN NILAI TUKAR (TDNT) OPTION PURCHASED TRADING,TAccount Category,Yes,23012301,LIAB DER TDNT OPTION PURCHASED TRADING,TAccount,Balance Sheet,Liability,
LIABILITAS DERIVATIF TERKAIT DENGAN NILAI TUKAR (TDNT) OPTION WRITTEN HEDGING,TAccount Category,Yes,23011401,LIAB DER TDNT OPTION WRITTEN HEDGING,TAccount,Balance Sheet,Liability,
LIABILITAS DERIVATIF TERKAIT DENGAN NILAI TUKAR (TDNT)  OPTION WRITTEN TRADING,TAccount Category,Yes,23012401,LIAB DER TDNT OPTION WRITTEN TRADING,TAccount,Balance Sheet,Liability,
LIABILITAS DERIVATIF TERKAIT DENGAN NILAI TUKAR (TDNT) SPOT HEDGING,TAccount Category,Yes,23011101,LIAB DER TDNT SPOT HEDGING,TAccount,Balance Sheet,Liability,
LIABILITAS DERIVATIF TERKAIT DENGAN NILAI TUKAR (TDNT) SWAP HEDGING,TAccount Category,Yes,23011601,LIAB DER TDNT SWAP HEDGING,TAccount,Balance Sheet,Liability,
LIABILITAS DERIVATIF TERKAIT DENGAN SUKU BUNGA (TDSB) - DIGITAL OPTION TRADING,TAccount Category,Yes,23022701,LIAB DER TDSB DGTL OPT TRDNG,TAccount,Balance Sheet,Liability,
LIABILITAS DERIVATIF TERKAIT DENGAN SUKU BUNGA (TDSB) FORWARD RATE AGREEMENT (FRA) HEDGING,TAccount Category,Yes,23021201,LIAB DER TDSB FWRD RATE AGREMENT HEDGING,TAccount,Balance Sheet,Liability,
LIABILITAS DERIVATIF TERKAIT DENGAN SUKU BUNGA (TDSB) INTEREST RATE CAP TRADING,TAccount Category,Yes,23022101,LIAB DER TDSB INTEREST RATE CAP,TAccount,Balance Sheet,Liability,
LIABILITAS DERIVATIF TERKAIT DENGAN SUKU BUNGA (TDSB) INTEREST RATE CAP HEDGING,TAccount Category,Yes,23021101,LIAB DER TDSB INTEREST RATE CAP HEDGING,TAccount,Balance Sheet,Liability,
LIABILITAS DERIVATIF TERKAIT DENGAN SUKU BUNGA (TDSB) INTEREST RATE SWAP (IRS) HEDGING,TAccount Category,Yes,23021601,LIAB DER TDSB INTEREST RATE SWAP HEDGING,TAccount,Balance Sheet,Liability,
LIABILITAS DERIVATIF YANG MASIH HARUS DISELESAIKAN,TAccount Category,Yes,23022801,LIAB DER YG MSH HRS DISELESAIKAN,TAccount,Balance Sheet,Liability,
LIABILITAS KANTOR SENDIRI (KS),TAccount Category,Yes,29611106,LIABILITAS KANTOR SENDIRI,TAccount,Balance Sheet,Liability,
LIABILITAS KANTOR SENDIRI (KS) - INITIAL DEPOSIT ACCOUNT,TAccount Category,Yes,29611206,LIABILITAS KS INITIAL DEPOSIT ACCOUNT,TAccount,Balance Sheet,Liability,
LIABILITAS LAIN-LAIN (LLL) REKENING SELISIH CARRIED OVER,TAccount Category,Yes,29511401,LLL AKUN SELISIH CARRIED OVER,TAccount,Balance Sheet,Liability,
LIABILITAS LAIN-LAIN (LLL)  BEBAN BUNGA YANG MASIH HARUS DIBAYAR (YMHD) INTEREST RATE SWAP (IRS),TAccount Category,Yes,27516101,LLL BBN BNG YMHD IRS,TAccount,Balance Sheet,Liability,
LIABILITAS LAIN-LAIN (LLL) BEBAN BUNGA YANG MASIH HARUS DIBAYAR (YMHD) PINJAMAN DITERIMA - TWO STEP LOAN (TSL),TAccount Category,Yes,27514101,LLL BBN BNG YMHD PINJAMAN DITERIMA TSL,TAccount,Balance Sheet,Liability,
LIABILITAS LAIN-LAIN (LLL)  BEBAN BUNGA YANG MASIH HARUS DIBAYAR (YMHD) PINJAMAN SUBORDINASI,TAccount Category,Yes,27515101,LLL BBN BNG YMHD PINJAMAN SUBORDINASI,TAccount,Balance Sheet,Liability,
LIABILITAS LAIN-LAIN (LLL) BEBAN BUNGA YANG MASIH HARUS DIBAYAR (YMHD) SURAT BERHARGA FLOATING RATE NOTES (FRN),TAccount Category,Yes,27511201,LLL BBN BNG YMHD SURAT BERHARGA FRN,TAccount,Balance Sheet,Liability,
LIABILITAS LAIN-LAIN (LLL) BEBAN BUNGA YANG MASIH HARUS DIBAYAR (YMHD) SURAT BERHARGA - MEDIUM TERM NOTES,TAccount Category,Yes,27511101,LLL BBN BNG YMHD SURAT BERHARGA MTN,TAccount,Balance Sheet,Liability,
LIABILITAS LAIN-LAIN (LLL) BEBAN BUNGA YANG MASIH HARUS DIBAYAR (YMHD) SURAT BERHARGA - NEGOTIABLE CERTIFICATES OF DEPOSIT (NCD),TAccount Category,Yes,27511301,LLL BBN BNG YMHD SURAT BERHARGA NCD,TAccount,Balance Sheet,Liability,
LIABILITAS LAIN-LAIN (LLL) BIAYA YANG MASIH HARUS DIBAYAR (YMHD) PREMI OPTION,TAccount Category,Yes,27521110,LLL BIAYA YMHD PREMI OPTION,TAccount,Balance Sheet,Liability,
LIABILITAS LAIN-LAIN (LLL)  CADANGAN BIAYA YANG MASIH HARUS DIBAYAR (YMHD),TAccount Category,Yes,27521106,LLL CAD BIAYA YANG MASIH HARUS DIBAYAR,TAccount,Balance Sheet,Liability,
LIABILITAS LAIN-LAIN (LLL) - LIABILITAS TRANSAKSI DERIVATIF,TAccount Category,Yes,27521105,LLL LIABILITAS TRANSAKSI DERIVATIF,TAccount,Balance Sheet,Liability,
LIABILITAS LAIN-LAIN (LLL) PENDAPATAN DITERIMA DIMUKA REVERSE REPO,TAccount Category,Yes,27551102,LLL PEND DITERIMA DIMUKA REVERSE REPO,TAccount,Balance Sheet,Liability,
LIABILITAS LAIN-LAIN (LLL) PENDAPATAN DITERIMA DIMUKA TRANSAKSI TREASURY,TAccount Category,Yes,27551103,LLL PEND DITERIMA DIMUKA TRN TREASURY,TAccount,Balance Sheet,Liability,
LIABILITAS LAIN-LAIN (LLL)  PENDAPATAN PREMI DITERIMA DI MUKA TRANSAKSI DERIVATIF TERKAIT DENGAN NILAI TUKAR (TDNT) -  FUTURE HEDGING,TAccount Category,Yes,27555501,LLL PEND PRM DD TRN DER TDNT FUT HDG,TAccount,Balance Sheet,Liability,
LIABILITAS LAIN-LAIN (LLL)  PENDAPATAN PREMI DITERIMA DI MUKA TRANSAKSI DERIVATIF TERKAIT DENGAN NILAI TUKAR (TDNT) -  FUTURE TRADING,TAccount Category,Yes,27556501,LLL PEND PRM DD TRN DER TDNT FUT TRD,TAccount,Balance Sheet,Liability,
LIABILITAS LAIN-LAIN (LLL)  PENDAPATAN PREMI DITERIMA DI MUKA TRANSAKSI DERIVATIF TERKAIT DENGAN NILAI TUKAR (TDNT) - OPTION WRITTEN TRADING,TAccount Category,Yes,27556301,LLL PEND PRM DD TRN DER TDNT OPT WRT TRD,TAccount,Balance Sheet,Liability,
LIABILITAS LAIN-LAIN (LLL) PENDAPATAN PREMI DITERIMA DI MUKA TRANSAKSI DERIVATIF TERKAIT DENGAN NILAI TUKAR (TDNT) - SWAP HEDGING,TAccount Category,Yes,27555601,LLL PEND PRM DD TRN DER TDNT SWAP HDG,TAccount,Balance Sheet,Liability,
LIABILITAS LAIN-LAIN (LLL)  PENDAPATAN PREMI DITERIMA DIMUKA TRANSAKSI DERIVATIF TERKAIT DENGAN NILAI TUKAR (TDNT) - SWAP TRADING,TAccount Category,Yes,27556601,LLL PEND PRM DD TRN DER TDNT SWAP TRD,TAccount,Balance Sheet,Liability,
KEWAJIBAN LAIN-LAIN (KLL) PENDAPATAN PREMI DITERIMA DI MUKA TRANSAKSI DERIVATIF TERKAIT DENGAN SUKU BUNGA (TDSB) - FORWARD RATE AGREEMENT (FRA) HEDGING,TAccount Category,Yes,27557201,LLL PEND PRM DD TRN DER TDSB FRA HDG,TAccount,Balance Sheet,Liability,
LIABILITAS LAIN-LAIN (LLL) PENDAPATAN PREMI DITERIMA DI MUKA TRANSAKSI DERIVATIF TERKAIT DENGAN SUKU BUNGA (TDSB) - FORWARD RATE AGREEMENT (FRA) TRADING,TAccount Category,Yes,27558201,LLL PEND PRM DD TRN DER TDSB FRA TRD,TAccount,Balance Sheet,Liability,
LIABILITAS LAIN-LAIN (LLL) PENDAPATAN PREMI DITERIMA DI MUKA TRANSAKSI DERIVATIF TERKAIT DENGAN SUKU BUNGA (TDSB) - FUTURE TRADING,TAccount Category,Yes,27558501,LLL PEND PRM DD TRN DER TDSB FUT TRD,TAccount,Balance Sheet,Liability,
KEWAJIBAN LAIN-LAIN (KLL) PENDAPATAN PREMI DITERIMA DIMUKA TRANSAKSI DERIVATIF TERKAIT DENGAN SUKU BUNGA (TDSB) -  INTEREST RATE CAP HEDGING,TAccount Category,Yes,27557101,LLL PEND PRM DD TRN DER TDSB IR CAP HDG,TAccount,Balance Sheet,Liability,
LIABILITAS LAIN-LAIN (LLL) PENDAPATAN PREMI DITERIMA DI MUKA TRANSAKSI DERIVATIF TERKAIT DENGAN SUKU BUNGA (TDSB) - INTEREST RATE CAP TRADING,TAccount Category,Yes,27558101,LLL PEND PRM DD TRN DER TDSB IR CAP TRD,TAccount,Balance Sheet,Liability,
LIABILITAS LAIN-LAIN (LLL) PENDAPATAN PREMI DITERIMA DI MUKA TRANSAKSI DERIVATIF TERKAIT DENGAN SUKU BUNGA (TDSB) -   INTEREST RATE SWAP (IRS) HEDGING,TAccount Category,Yes,27557601,LLL PEND PRM DD TRN DER TDSB IRS HDG,TAccount,Balance Sheet,Liability,
LIABILITAS LAIN-LAIN (LLL) PENDAPATAN PREMI DITERIMA DI MUKA TRANSAKSI DERIVATIF TERKAIT DENGAN SUKU BUNGA (TDSB) - INTEREST RATE SWAP (IRS) TRADING,TAccount Category,Yes,27558601,LLL PEND PRM DD TRN DER TDSB IRS TRD,TAccount,Balance Sheet,Liability,
LIABILITAS LAIN-LAIN (LLL) PENDAPATAN PREMI DITERIMA DI MUKA TRANSAKSI DERIVATIF TERKAIT DENGAN SUKU BUNGA (TDSB) - OPTION WRITTEN HEDGING,TAccount Category,Yes,27557301,LLL PEND PRM DD TRN DER TDSB OPT WRT HDG,TAccount,Balance Sheet,Liability,
LIABILITAS LAIN-LAIN (LLL) PENDAPATAN PREMI DITERIMA DIMUKA TRANSAKSI DERIVATIF TERKAIT DENGAN SUKU BUNGA (TDSB) - OPTION WRITTEN TRADING,TAccount Category,Yes,27558301,LLL PEND PRM DD TRN DER TDSB OPT WRT TRD,TAccount,Balance Sheet,Liability,
LIABILITAS LAIN-LAIN (LLL)  TITIPAN YANG MASIH HARUS DISELESAIKAN,TAccount Category,Yes,27561118,LLL TITIPAN YANG MSH HRS DISELESAIKAN,TAccount,Balance Sheet,Liability,
MEMO ACCOUNT BUNGA YANG MASIH HARUS DITAGIH,TAccount Category,Yes,66012901,MEMO ACCOUNT BUNGA YMH DITAGIH,TAccount,Off Balance Sheet,Off Balance Sheet Asset,
MEMO ACCOUNT BUNGA YANG MASIH HARUS DITAGIH - KONTRA,TAccount Category,Yes,86012901,MEMO ACCOUNT BUNGA YMH DITAGIH KONTRA,TAccount,Off Balance Sheet,Contra Asset,
OBLIGASI PEMERINTAH PREMI/DISKONTO DIMILIKI HINGGA JATUH TEMPO,TAccount Category,Yes,14041101,OBL. PEM. PREMI/DISKONTO DHGJT,TAccount,Balance Sheet,Asset,
PENDAPATAN BUNGA DALAM PENYELESAIAN (BDP - AKTIF) EFEK-EFEK DIMILIKI HINGGA JATUH TEMPO SURAT BERHARGA PASAR MODAL (SBPM) OBLIGASI,TAccount Category,Yes,62533101,PEND BDP (AKTIF) EFEK-EFEK DHG. JT.,TAccount,Off Balance Sheet,Off Balance Sheet Asset,
PENDAPATAN BUNGA DALAM PENYELESAIAN (BDP - AKTIF) EFEK-EFEK DIPERDAGANGKAN SURAT BERHARGA PASAR UANG (SBPU) MEDIUM TERM NOTES (MTN) DISKONTO,TAccount Category,Yes,62522101,PEND BDP (AKTIF) EFEK-EFEK DIPERDAG.,TAccount,Off Balance Sheet,Off Balance Sheet Asset,
PENDAPATAN BUNGA DALAM PENYELESAIAN (BDP - AKTIF) EFEK-EFEK TERSEDIA UNTUK DIJUAL SURAT BERHARGA PASAR MODAL (SBPM) OBLIGASI,TAccount Category,Yes,62543101,PEND BDP (AKTIF) EFEK-EFEK TSD U/DJL,TAccount,Off Balance Sheet,Off Balance Sheet Asset,
PENDAPATAN BUNGA DALAM PENYELESAIAN (BDP - AKTIF) EFEK-EFEK TERSEDIA UNTUK DIJUAL SURAT BERHARGA PASAR MODAL (SBPM) OBLIGASI - KONTRA,TAccount Category,Yes,82543101,PEND BDP (AKTIF) EFEK-EFEK TSD U/DJL,TAccount,Off Balance Sheet,Contra Asset,
PENDAPATAN BUNGA DALAM PENYELESAIAN (BDP - PASIF) SURAT BERHARGA,TAccount Category,Yes,63015001,PEND BDP (PASIF) SURAT BERHARGA,TAccount,Off Balance Sheet,Off Balance Sheet Asset,
PENDAPATAN BUNGA DALAM PENYELESAIAN (BDP - AKTIF) EFEK-EFEK DIMILIKI HINGGA JATUH TEMPO SURAT BERHARGA PASAR MODAL (SBPM) OBLIGASI - KONTRA,TAccount Category,Yes,82533101,PEND BDP(AKTIF) EFEK-EFEK DHG. JT. SBPM,TAccount,Off Balance Sheet,Contra Asset,
PENDAPATAN BUNGA DALAM PENYELESAIAN (BDP-AKTIF) EFEK-EFEK DIPERDAGANGKAN SURAT BERHARGA PASAR UANG (SBPU) MEDIUM TERM NOTES (MTN) - DISKONTO - KONTRA,TAccount Category,Yes,82522101,PEND BDP(AKTIF) EFEK-EFEK DPDG. SBPU,TAccount,Off Balance Sheet,Contra Asset,
