CHOICELIST,,,,/CHOICELIST
EmasProdCode,154,GJMNLC-SGD,Giro Jaminan LC-SGD,
EmasProdCode,155,GJMNLC-USD,Giro jaminan LC -USD,
EmasProdCode,156,GJMNSKBDN,Giro jaminan SKBDN,
EmasProdCode,157,GJPY-LCS,Giro Valas JPY LCS,
EmasProdCode,158,GJSKBDNCNY,Giro JMN SKBDN CNY,
EmasProdCode,159,GJSKBDNUSD,GIRJAM SKBDN USD,
EmasProdCode,160,GMYR-LCS,Giro Valas MYR LCS,
EmasProdCode,161,GNPCTM-IDR,Giro NP CTM Rupiah,
EmasProdCode,162,GRAHA-CONS,GRAHA-CONS,
EmasProdCode,163,GRAHAAN,GRAHAAN,
EmasProdCode,164,GRAHAAN-01,GRAHAAN-01,
EmasProdCode,165,GRAHAAN-02,GRAHAAN-02,
EmasProdCode,166,GRAHAAN-AB,GRAHAAN-AB,
EmasProdCode,167,GRAHAAN-TO,GRAHAAN-TO,
EmasProdCode,168,GRAHAANPTL,GRAHAANPTL,
EmasProdCode,169,GRAHADEV,GRAHADEV,
EmasProdCode,170,GRAHAFL,GRAHAFL,
EmasProdCode,171,GRAHAGPRAN,GRAHAAN,
EmasProdCode,172,GRAHASOLHC,GRAHASOLHC,
EmasProdCode,173,GRAHFLX-NR,GRAHFLX-NR,
EmasProdCode,174,GRAHFLX-R,GRAHFLX-R,
EmasProdCode,175,GTHB-LCS,Giro Valas THB LCS,
EmasProdCode,176,GUSD-DHE,Giro Reguler USD DHE,
EmasProdCode,177,GUSD-PREM,GIRO PREMIER USD,
EmasProdCode,178,GUSD-SPEC,Giro USD Rate Khusus,
EmasProdCode,179,GUSDPR-DHE,GIRO PREM USD DHE,
EmasProdCode,180,I-75JUTA,I-75JUTA,
EmasProdCode,181,I-75JUTAAN,I-75JUTAAN,
EmasProdCode,182,I-BPR-PKMA,I-BPR-PKMA,
EmasProdCode,183,I-BPR-PKMD,I-BPR-PKMD,
EmasProdCode,184,I-BUNBUMD,I-BUNBUMD,
EmasProdCode,185,I-BUNBUMN,I-BUNBUMN,
EmasProdCode,186,I-BUNKIK,I-BUNKIK,
EmasProdCode,187,I-BUNKKPA,I-BUNKKPA,
EmasProdCode,188,I-BUNKUK,I-BUNKUK,
EmasProdCode,189,I-BUNPBSN,I-BUNPBSN,
EmasProdCode,190,I-CASHCOL,I-CASHCOL,
EmasProdCode,191,I-CASHCOLA,I-CASHCOLA,
EmasProdCode,192,I-CASHCOLF,I-CASHCOLF,
EmasProdCode,193,I-CASHCOLL,I-CASHCOLL,
EmasProdCode,194,I-CHANNELG,I-CHANNELG,
EmasProdCode,195,I-EKSPOR,I-EKSPOR,
EmasProdCode,196,I-EXIMKU,I-EXIMKU,
EmasProdCode,197,I-KASB-ORI,I-KASB-ORI,
EmasProdCode,198,I-KASB-SUK,I-KASB-SUK,
EmasProdCode,199,I-KKPA,I-KKPA,
EmasProdCode,200,I-KKUUMUM,I-KKUUMUM,
EmasProdCode,201,I-KKUUMUMA,I-KKUUMUMA,
EmasProdCode,202,I-KKUUMUMF,I-KKUUMUMF,
EmasProdCode,203,I-KOPERASI,I-KOPERASI,
EmasProdCode,204,I-KOPRAN,I-KOPRAN,
EmasProdCode,205,I-KPBA-AN,I-KPBA-AN,
EmasProdCode,206,I-KPBA-D,I-KPBA-D,
EmasProdCode,207,I-KUK,I-KUK,
EmasProdCode,208,I-KUKA,I-KUKA,
EmasProdCode,209,I-KUKA-SBM,I-KUKA-SBM,
EmasProdCode,210,I-KUKF,I-KUKF,
EmasProdCode,211,I-KUMLTAFL,I-KUMLTAFL,
EmasProdCode,212,I-NBUNKIK,I-NBUNKIK,
EmasProdCode,213,I-NONKUKBK,I-NONKUKBK,
EmasProdCode,214,I-OTD-IDR,I-OTD-IDR,
EmasProdCode,215,I-OTD-USD,I-OTD-USD,
EmasProdCode,216,I-PIRBUN,I-PIRBUN,
EmasProdCode,217,I-PIRTRANS,I-PIRTRANS,
EmasProdCode,218,I-PUKK,I-PUKK,
EmasProdCode,219,I-SINDI,I-SINDI,
EmasProdCode,220,I-SINDIVA,I-SINDIVA,
EmasProdCode,221,I-SUP,I-SUP,
EmasProdCode,222,I-SUP-AN,I-SUP-AN,
EmasProdCode,223,I-TRANS,I-TRANS,
EmasProdCode,224,I-UM-KELFL,I-UM-KELFL,
EmasProdCode,225,I-UM-MANFL,I-UM-MANFL,
EmasProdCode,226,I-UM-MAPFL,I-UM-MAPFL,
EmasProdCode,227,I-UM-PRIFL,I-UM-PRIFL,
EmasProdCode,228,I-UM-SEC,I-UM-SEC,
EmasProdCode,229,I-UMUM,I-UMUM,
EmasProdCode,230,I-UMUMAN,I-UMUMAN,
EmasProdCode,231,I-VALAS,I-VALAS,
EmasProdCode,232,I-VIABANK,I-VIABANK,
EmasProdCode,233,K-KASB-ORI,K-KASB-ORI,
EmasProdCode,234,K-KASB-SUK,K-KASB-SUK,
EmasProdCode,235,KBAAN-PAP,KBAAN-PAP,
EmasProdCode,236,KBAANPTL,KBAAN-PAP,
EmasProdCode,237,KENDARAAN,KENDARAAN,
EmasProdCode,238,KENDARAAV,KENDARAAV,
EmasProdCode,239,KENDARAFL,KENDARAFL,
EmasProdCode,240,KI-MKUKBB,KI-MKUKBB,
EmasProdCode,241,KI-PK-FL,KI-PK-FL,
EmasProdCode,242,KI-UMUM-GP,KI-UMUM-GP,
EmasProdCode,243,KKP-KEND,S-KKP-KEND,
EmasProdCode,244,KKP-MULTI,S-KKP-RMH,
EmasProdCode,245,KKP-RMH,S-KKP-RMH,
EmasProdCode,246,KLBI-IDR,KREDIT LIKUIDITAS BI,
EmasProdCode,247,KMK-AN,KMK-AN,
EmasProdCode,248,KMK-BB14,KMK-BB14,
EmasProdCode,249,KMK-BB23,KMK-BB23,
EmasProdCode,250,KMK-BB7,KMK-BB7,
EmasProdCode,251,KMK-BL1,KMK-BL1,
EmasProdCode,252,KMK-JK-PDK,M-UMUM,
EmasProdCode,253,KMK-M-EBIZ,KMK-M-EBIZ,
