CHOICELIST,,,,/CHOICELIST
LIST,ENTRY,DESCRIPTION,SORT_ORDER,
MASTER,LBUT_SANDI BANK,LBUT_SANDI BANK,,
LBUT_SANDI BANK,BANK KESEJAHTERAAN,535,147,
LBUT_SANDI BANK,BANK BCA SYARIAH,536,148,
LBUT_SANDI BANK,BANK ASTRIA RAYA,538,149,
LBUT_SANDI BANK,BANK ARTOS INDONESIA,542,150,
LBUT_SANDI BANK,BANK PUTERA MULTIKARSA,543,151,
LBUT_SANDI BANK,BANK METROPOLITAN RAYA,544,152,
LBUT_SANDI BANK,BANK MATARAM DHANARTA,545,153,
LBUT_SANDI BANK,BANK TABUNGAN PENSIUNAN NASIONAL SYAR.,547,154,
LBUT_SANDI BANK,BANK MULTIARTA SENTOSA,548,155,
LBUT_SANDI BANK,BANK CIPUTRA,549,156,
LBUT_SANDI BANK,BANK BEPEDE INDONESIA,550,157,
LBUT_SANDI BANK,BANK CENTRIS INTERNASIONAL,551,158,
LBUT_SANDI BANK,BANK MAYORA,553,159,
LBUT_SANDI BANK,INDEX SELINDO,555,160,
LBUT_SANDI BANK,BANK BUMI RAYA UTAMA,556,161,
LBUT_SANDI BANK,BANK SEMBADA ARTANUGROHO (SANHO BANK),557,162,
LBUT_SANDI BANK,BANK INDOMITRA DEVELOPMENT,560,163,
LBUT_SANDI BANK,BANK BUDI INTERNASIONAL,561,164,
LBUT_SANDI BANK,BANK FAMA INTERNATIONAL,562,165,
LBUT_SANDI BANK,BANK CITRAHASTA DHANAMANUNGGAL,563,166,
LBUT_SANDI BANK,BANK MANDIRI TASPEN POS,564,167,
LBUT_SANDI BANK,BANK ORIENT,565,168,
LBUT_SANDI BANK,BANK VICTORIA INTERNATIONAL,566,169,
LBUT_SANDI BANK,BANK HARDA INTERNATIONAL,567,170,
LBUT_SANDI BANK,BANK RAKYAT INDONESIA - NEW YORK,700,171,
LBUT_SANDI BANK,BANK RAKYAT INDONESIA - CAYMAN ISLAND,701,172,
LBUT_SANDI BANK,BANK RAKYAT INDONESIA - SINGAPORE,702,173,
LBUT_SANDI BANK,BANK MANDIRI - TOKYO,706,174,
LBUT_SANDI BANK,BANK MANDIRI - CAYMAND ISLAND,707,175,
LBUT_SANDI BANK,BANK MANDIRI - SINGAPORE,708,176,
LBUT_SANDI BANK,BANK MANDIRI - HONGKONG,709,177,
LBUT_SANDI BANK,BANK MANDIRI - COOK ISLAND,710,178,
LBUT_SANDI BANK,BANK MANDIRI - TIMOR TIMUR,711,179,
LBUT_SANDI BANK,BANK MANDIRI - SHANGHAI,712,180,
LBUT_SANDI BANK,BANK NEGARA INDONESIA - NEW YORK,729,181,
LBUT_SANDI BANK,BANK NEGARA INDONESIA - CAYMAND ISLAND,730,182,
LBUT_SANDI BANK,BANK NEGARA INDONESIA - LONDON,731,183,
LBUT_SANDI BANK,BANK NEGARA INDONESIA - TOKYO,732,184,
LBUT_SANDI BANK,BANK NEGARA INDONESIA - HONGKONG,733,185,
LBUT_SANDI BANK,BANK NEGARA INDONESIA - SINGAPORE,734,186,
LBUT_SANDI BANK,BANK NEGARA INDONESIA - SEOUL,735,187,
LBUT_SANDI BANK,BANK DANAMON INDONESIA - CAYMAND ISLAND,745,188,
LBUT_SANDI BANK,BANK PERMATA - CAYMAND ISLAND,748,189,
LBUT_SANDI BANK,BANK PERMATA - LOS ANGELES,749,190,
LBUT_SANDI BANK,BANK CENTRAL ASIA - NEW YORK,752,191,
LBUT_SANDI BANK,BANK CENTRAL ASIA - BAHAMA,753,192,
LBUT_SANDI BANK,BANK INT'L INDONESIA - CAYMAND ISLAND,758,193,
LBUT_SANDI BANK,BANK INT'L INDONESIA - COOK ISLAND,759,194,
LBUT_SANDI BANK,BANK INT'L INDONESIA - BOMBAY (INDIA),760,195,
LBUT_SANDI BANK,BANK INT'L INDONESIA - PORT LOUIS,761,196,
LBUT_SANDI BANK,PANIN BANK - CAYMAND ISLAND,766,197,
LBUT_SANDI BANK,PANIN BANK - COOK ISLAND,767,198,
LBUT_SANDI BANK,BANK NIAGA - CAYMAND ISLAND,770,199,
LBUT_SANDI BANK,BANK NIAGA - LOS ANGELES,771,200,
LBUT_SANDI BANK,BANK MUAMALAT - KUALA LUMPUR,780,201,
LBUT_SANDI BANK,BANK AGRIS,945,202,
LBUT_SANDI BANK,BANK MAYBANK SYARIAH INDONESIA,947,203,
LBUT_SANDI BANK,BANK CTBC INDONESIA,949,204,
LBUT_SANDI BANK,BANK COMMONWEALTH,950,205,
