VOLATILITY,,,,,,,,,,,,,,,,,,,,,,,VOLPOINT,,/VOLPOINT,/VOLATILITY
BOND_VOL_TYPE,CALIBRATION_BOUND_FUNCTION,CALIBRATION_FILTER_FUNCTION,CAP_FLOOR_FORWARD_VOL,CURR.INSID,DATA,DISPLACED_BLACK_SCHOLES_SHIFT,DOMESTIC_HOLIDAY_WEIGHT,DOMESTIC_WEEKEND_WEIGHT,EXPIRY_DATE_METHOD,EXPIRY_EXTRAPOLATION_METHOD,EXPIRY_INTERPOLATION_METHOD,FOREIGN_HOLIDAY_WEIGHT,FOREIGN_WEEKEND_WEIGHT,FRAMEWORK,INTERPOLATION_METHOD,INTERPOLATION_ORDER,RISK_TYPE,STRIKE_DIMENSION,STRIKE_TYPE,VOL_NAME,VOL_TYPE,VOL_VALUE_TYPE,INSADDR.INSID,VOLATILITY,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/10Y/ATM,0.187602828726,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/12Y/-0.25,0.188640502035,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/12Y/-0.50,0.19291016664,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/12Y/-1.00,0.208533374632,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/12Y/-1.25,0.222445282167,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/12Y/-1.50,0.237333126561,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/12Y/0.00,0.182709800301,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/12Y/0.25,0.179556709876,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/12Y/0.50,0.176989017905,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/12Y/1.00,0.174732213295,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/12Y/10.00,0.215721035319,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/12Y/2.00,0.169121554206,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/12Y/3.00,0.168006206096,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/12Y/5.00,0.17374937994,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/12Y/ATM,0.180980616242,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/15Y/-0.25,0.183981374802,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/15Y/-0.50,0.18909975333,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/15Y/-1.00,0.204530164687,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/15Y/-1.25,0.215008350206,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/15Y/-1.50,0.229047099631,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/15Y/0.00,0.17662151586,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/15Y/0.25,0.175631974697,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/15Y/0.50,0.171590369621,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/15Y/1.00,0.163604894603,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/15Y/10.00,0.200755654681,,
