,,,,,State Chart Viewer,Application,,,
,,,,,Business Process Details,Application,,,
,,,,,Distribution Management,Application,,,
,,,,,Settlement Process,Application,,,
,,,,,Limit Specification,Application,,,
,,,,,Time Series Dv Spec,Application,,,
,,,,,Ribbon Designer,Application,,,
,,,,,Credit Balance,Application,Trading/&Credit,,
,,,,,Dividend Point Index,Application,Trading/E&quity,,
,,,,,Flexi Bond,Application,"Trading/&IR,Trading/&Credit",,
,,,,,Tiering Category,Application,,,
,,,,,Quoting Administration,Application,,,
,,,,,Quote Request Ownership,Application,,,
,,,,,Worksheet Disposition,Application,,,
,,,,,Server Monitoring Console,Application,,,
,,,,,Distributed Information Manager,Application,,,
,,,,,Distributed Run Query,Application,,,
,,,,,Precious Metal Cash,Application,"Trading/&FX,Trading/C&ommodity",,
,,,,,Stored Column,Application,,,
,,,,,Precious Metal Rate,Application,Trading/&FX,,
,,,,,Average Future/Forward,Application,Trading/C&ommodity,,
,,,,,Position Administration,Application,,,
,,,,,Risk Manager,Application,,,
,,,,,Rolling Schedule,Application,Trading/C&ommodity,,
,,,,,Precious Metal Option,Application,"Trading/C&ommodity,Trading/&FX",,
,,,,,Quote Request Manager,Application,,,
,,,,,AMS Profile,Application,,,
,,,,,Security Transfer,Application,,,
,,,,,Fixing Date Rule,Application,,,
,,,,,Extension Editor,Application,,,
,,,,,AXL Editor,Application,,,
,,,,,Algo Monitor,Application,,,
,,,,,Business Intelligence Workbench,Application,,,
,,,,,Operations Viewer,Application,,,
,,,,,Disposition Administration,Application,,,
,,,,,Autocallable,Application,"Trading/&IR,Trading/E&quity",,
,,,,,Precious Metal Deposit/Loan,Application,"Trading/&FX,Trading/C&ommodity",,
,,,,,Average Option,Application,Trading/C&ommodity,,
,,,,,Quote Universe,Application,,,
,,,,,Quote Manager,Application,,,
,,,,,Cash Flow Future,Application,Trading/E&quity,,
,,,,,Data Source Administration,Application,,,
,,,,,Data Source Viewer,Application,,,
,,,,,Fixed Nominal Security Loan,Application,"Trading/&IR,Trading/E&quity",,
,,,,,Hierarchy Editor Application,Application,,,
,,,,,Risk Factor Setup Application,Application,,,
,,,,,Master Agreement,Application,,,
,,,,,Execution Algo Administration,Application,,,
,,,,,Reverse Security Loan,Application,"Trading/&IR,Trading/E&quity",,
,,,,,Swaption,Application,"Trading/E&quity,Trading/&IR,Trading/&Credit,Trading/&FX,Trading/C&ommodity",,
,,,,,Quote Group,Application,,,
,,,,,Basket Repo/Reverse Legacy,Application,Trading/&IR,,
,,,,,Compounded Index,Application,Trading/&IR,,
,,,,,Open...,Application,,,
,,,,,Save,Application,,,
,,,,,Save As...,Application,,,
,,,,,Delete,Application,,,
,,,,,Delete...,Application,,,
,,,,,About...,Application,,,
,,,,,Quit,Application,,,
,Yes,Yes,Yes,Yes,PriceDistributor,DBObject,,,
,Yes,Yes,Yes,Yes,PriceDefinition,DBObject,,,
,Yes,Yes,Yes,Yes,Instrument,DBObject,,,
,Yes,Yes,Yes,Yes,ListNode,DBObject,,,
,Yes,Yes,Yes,Yes,Price,DBObject,,,
,Yes,Yes,Yes,Yes,Portfolio,DBObject,,,
,Yes,Yes,Yes,Yes,Trade,DBObject,,,
,Yes,Yes,Yes,Yes,TradeFilter,DBObject,,,
,Yes,Yes,Yes,Yes,Calendar,DBObject,,,
,Yes,Yes,Yes,Yes,Party,DBObject,,,
,Yes,Yes,Yes,Yes,CreditLimitPar,DBObject,,,
,Yes,Yes,Yes,Yes,CreditLimit,DBObject,,,
,Yes,Yes,Yes,Yes,ChoiceList,DBObject,,,
,Yes,Yes,Yes,Yes,Organisation,DBObject,,,
,Yes,Yes,Yes,Yes,Group,DBObject,,,
,Yes,Yes,Yes,Yes,User,DBObject,,,
,Yes,Yes,Yes,Yes,UserProfile,DBObject,,,
,Yes,Yes,Yes,Yes,Component,DBObject,,,
,Yes,Yes,Yes,Yes,RiskFactorMember,DBObject,,,
,Yes,Yes,Yes,Yes,RiskFactorSpecHeader,DBObject,,,
,Yes,Yes,Yes,Yes,ServerData,DBObject,,,
,Yes,Yes,Yes,Yes,AdditionalInfoSpec,DBObject,,,
,Yes,Yes,Yes,Yes,OwnOrder,DBObject,,,
,Yes,Yes,Yes,Yes,EMUCurrency,DBObject,,,
,Yes,Yes,Yes,Yes,EuroConversion,DBObject,,,
,Yes,Yes,Yes,Yes,Context,DBObject,,,
,Yes,Yes,Yes,Yes,DividendStream,DBObject,,,
,Yes,Yes,Yes,Yes,CorpAction,DBObject,,,
,Yes,Yes,Yes,Yes,PriceFinding,DBObject,,,
,Yes,Yes,Yes,Yes,TextObject,DBObject,,,
,Yes,Yes,Yes,Yes,Covariance,DBObject,,,
,Yes,Yes,Yes,Yes,TimeSeriesSpec,DBObject,,,
,Yes,Yes,Yes,Yes,TimeSeries,DBObject,,,
,Yes,Yes,Yes,Yes,InstrAliasType,DBObject,,,
,Yes,Yes,Yes,Yes,OrderBook,DBObject,,,
,Yes,Yes,Yes,Yes,TickSizeList,DBObject,,,
,Yes,Yes,Yes,Yes,TradeStatusValue,DBObject,,,
,Yes,Yes,Yes,Yes,YieldCurve,DBObject,,,
,Yes,Yes,Yes,Yes,Volatility,DBObject,,,
,Yes,Yes,Yes,Yes,InfoMarket,DBObject,,,
,Yes,Yes,Yes,Yes,CurrencyPair,DBObject,,,
,Yes,Yes,Yes,Yes,Task,DBObject,,,
,Yes,Yes,Yes,Yes,TaskHistory,DBObject,,,
,Yes,Yes,Yes,Yes,AggregationRule,DBObject,,,
,Yes,Yes,Yes,Yes,CorrelationMatrix,DBObject,,,
,Yes,Yes,Yes,Yes,QuoteParameter,DBObject,,,
,Yes,Yes,Yes,Yes,Settlement,DBObject,,,
,Yes,Yes,Yes,Yes,NettingRule,DBObject,,,
,Yes,Yes,Yes,Yes,UserLog,DBObject,,,
,Yes,Yes,Yes,Yes,LicenseType,DBObject,,,
,Yes,Yes,Yes,Yes,HedgePackage,DBObject,,,
,Yes,Yes,Yes,Yes,HedgeLink,DBObject,,,
,Yes,Yes,Yes,Yes,ValuationParameters,DBObject,,,
