ACCINSTRUCTIONMAPPING,,,,,,,,/ACCINSTRUCTIONMAPPING
TREATMENT_LINK.ID,ID,QUERY_SEQNBR.NAME,NEXT_ID,QUERY_SEQNBR.TYPE,BOOK_LINK.ID,PREVIOUS_ID,TYPE,
Treasury_SH_ACU|Borrowing|DepoLoan_MF_Value Date Offbalance Principal,7a145eca-e25c-4399-824a-fd1a3914ec30,A_AI_MF_Premium_CallMoney,c037495a-a2ac-4bd0-b277-e8a58aaea71a,FASQL Query,Treasury_SH_ACU|Borrowing,,Money Flow,
Treasury_SH_ACU|Placement|DepoLoan_MF_Pay Date Interest PL,0f2d67b0-79c9-470f-bff6-b0ed6ff6fc91,A_AI_MF_Interest,cd2591fb-8021-4fe0-a4c1-7fbcb7258da7,FASQL Query,Treasury_SH_ACU|Placement,b93bddbe-7a6c-449b-8e83-290001839588,Money Flow,
Treasury_SH_ACU|Placement|DepoLoan_MF_Value Date Principal,b93bddbe-7a6c-449b-8e83-290001839588,A_AI_MF_Premium,0f2d67b0-79c9-470f-bff6-b0ed6ff6fc91,FASQL Query,Treasury_SH_ACU|Placement,17dea1b6-eb38-4121-a7e6-2c4a9a108411,Money Flow,
Treasury_SH_ACU|Placement|DepoLoan_MF_Maturity Date Principal,17dea1b6-eb38-4121-a7e6-2c4a9a108411,A_AI_MF_FixedAmount,b93bddbe-7a6c-449b-8e83-290001839588,FASQL Query,Treasury_SH_ACU|Placement,d3e41132-2ed8-49b6-8ad6-131729b5765e,Money Flow,
Treasury_SH_ACU|Placement|DepoLoan_MF_Trade Date Offbalance Principal,d3e41132-2ed8-49b6-8ad6-131729b5765e,A_AI_MF_Premium_CallMoney,17dea1b6-eb38-4121-a7e6-2c4a9a108411,FASQL Query,Treasury_SH_ACU|Placement,ea70417d-018b-439e-b5d2-57f5849ad6cb,Money Flow,
Treasury_SH_ACU|Placement|DepoLoan_MF_Value Date Offbalance Principal,ea70417d-018b-439e-b5d2-57f5849ad6cb,A_AI_MF_Premium_CallMoney,d3e41132-2ed8-49b6-8ad6-131729b5765e,FASQL Query,Treasury_SH_ACU|Placement,,Money Flow,
Treasury_SH_ACU|Borrowing|DepoLoan_TD_Daily Interest Accrual,c6b2cd21-748e-4aaa-b62b-91db99a25c8a,A_AI_TD_All,3415a70e-66f3-441a-bbab-f306574fe094,FASQL Query,Treasury_SH_ACU|Borrowing,,Trade,
Treasury_SH_ACU|Placement|DepoLoan_TD_Daily Interest Accrual,aba9f3cb-01e3-4a6f-9135-9d9ef8dbe5e3,A_AI_TD_All,a6ad4c23-ee0c-447f-b542-9722d3cdbd8c,FASQL Query,Treasury_SH_ACU|Placement,,Trade,
Treasury_SH_ACU|Repo|Repo_MF_Maturity Date Principal,1e6227d2-d500-4b71-b1bc-0f78b15c6d5b,A_AI_MF_FixedAmount,92f39861-9eab-48d3-9f37-42a55302a55d,FASQL Query,Treasury_SH_ACU|Repo,b9219f8b-cbc0-49cb-8e3c-516d78caca3f,Money Flow,
Treasury_SH_ACU|Repo|Repo_MF_Value Date Principal,b9219f8b-cbc0-49cb-8e3c-516d78caca3f,A_AI_MF_Premium,1e6227d2-d500-4b71-b1bc-0f78b15c6d5b,FASQL Query,Treasury_SH_ACU|Repo,55ba3a8c-4404-428c-bb13-88c4d70e0fa1,Money Flow,
