TREATMENTLINK,,,,/TREATMENTLINK
BOOK.NAME,TREATMENT.NAME,ACCOUNTING_INSTRUCTION.NAME,ID,
Treasury_SH_ACU,Cash_Payment Autoinvest,CP_AutoInvest_Premium,Treasury_SH_ACU|Cash_Payment Autoinvest|CP_AutoInvest_Premium,
Treasury_SH_ACU,Cash_Payment Autoinvest,CP_Interest Accrued,Treasury_SH_ACU|Cash_Payment Autoinvest|CP_Interest Accrued,
Treasury_SH_ACU,Cash_Payment Autoinvest,CP_Interest income,Treasury_SH_ACU|Cash_Payment Autoinvest|CP_Interest income,
Treasury_SH_ACU,Settlement,Value Day (Real-Time),Treasury_SH_ACU|Settlement|Value Day (Real-Time),
Treasury_SH_ACU,Placement,DepoLoan_TD_Daily Interest Accrual_FCY_ACCY,Treasury_SH_ACU|Placement|DepoLoan_TD_Daily Interest Accrual_FCY_ACCY,
Treasury_SH_ACU,Placement,DepoLoan_MF_Pay Date Interest PL_FCY_ACCY,Treasury_SH_ACU|Placement|DepoLoan_MF_Pay Date Interest PL_FCY_ACCY,
Treasury_SH_ACU,Settlement,Value Day (EOD),Treasury_SH_ACU|Settlement|Value Day (EOD),
Treasury_SH_ACU,Borrowing,DepoLoan_MF_Pay Date Interest PL_FCY_ACCY,Treasury_SH_ACU|Borrowing|DepoLoan_MF_Pay Date Interest PL_FCY_ACCY,
Treasury_SH_ACU,Borrowing,DepoLoan_TD_Daily Interest Accrual_FCY_ACCY,Treasury_SH_ACU|Borrowing|DepoLoan_TD_Daily Interest Accrual_FCY_ACCY,
Treasury_SH_ACU,Placement,PSAK_MF_Pay Date Attributable Fee,Treasury_SH_ACU|Placement|PSAK_MF_Pay Date Attributable Fee,
Treasury_SH_ACU,FX Forward,FX_MF_Trade Date OffBalance Principal,Treasury_SH_ACU|FX Forward|FX_MF_Trade Date OffBalance Principal,
Treasury_SH_ACU,FX Forward,FX_MF_Value Date OffBalance Principal,Treasury_SH_ACU|FX Forward|FX_MF_Value Date OffBalance Principal,
Treasury_SH_ACU,FX Forward,FX_MF_Value Date Principal,Treasury_SH_ACU|FX Forward|FX_MF_Value Date Principal,
Treasury_SH_ACU,FX Forward,FX_TD_Daily Mark-to-Market,Treasury_SH_ACU|FX Forward|FX_TD_Daily Mark-to-Market,
Treasury_SH_ACU,FX Swap,FX_MF_Trade Date OffBalance Principal,Treasury_SH_ACU|FX Swap|FX_MF_Trade Date OffBalance Principal,
Treasury_SH_ACU,FX Swap,FX_MF_Value Date OffBalance Principal,Treasury_SH_ACU|FX Swap|FX_MF_Value Date OffBalance Principal,
Treasury_SH_ACU,FX Swap,FX_MF_Value Date Principal,Treasury_SH_ACU|FX Swap|FX_MF_Value Date Principal,
Treasury_SH_ACU,FX Swap,FX_TD_Daily Mark-to-Market,Treasury_SH_ACU|FX Swap|FX_TD_Daily Mark-to-Market,
Treasury_SH_ACU,Placement,DepoLoan_TD_Daily Interest Accrual_FCY (NI),Treasury_SH_ACU|Placement|DepoLoan_TD_Daily Interest Accrual_FCY (NI),
