CHOICELIST,,,/CHOICELIST
Branch,010203-KC JAKARTA GEDUNG PUSAT KEHUTANA,JKTHUTIDR,
Branch,010204-KCP JAKARTA PUNCAK EMAS,JKTPMASIDR,
Branch,010205-KCP JAKARTA RATU PLAZA,JKTRATUIDR,
Branch,010206-KCP JAKARTA MAYESTIK,JKTMAYEIDR,
Branch,010207-KCP JAKARTA TENDEAN,JKTGDAKA,
Branch,010208-(DO NOT USE XXX),JKTPOLR,
Branch,010209-KK JAKARTA PALMERAH,JKTPALMIDR,
Branch,010210-(DO NOT USE XXX),JKTPOS,
Branch,010211-KK JAKARTA PAKUBUWONO,JKTPAKUIDR,
Branch,010212-KK JAKARTA ITC PERMATA HIJAU,JKTITCPIDR,
Branch,010213-KCP JAKARTA ENERGI,JKTPLZABDA,
Branch,010215-JAKARTA SENAYAN CITY,JKTSCTY,
Branch,010216-KK JAKARTA KEBAYORAN LAMA 2,KKJKTBYRL2,
Branch,010218-KCP JAKARTA R.S. JAKARTA,KCPJKTRSJK,
Branch,010219-KCP JAKARTA WISMA INDOSEMEN,KCPJKTINSM,
Branch,010220-KCP JAKARTA WORLD TRADE CENTER,KCPJKTWTC,
Branch,010221-KK JAKARTA PERMATA HIJAU,JKTPERHIDR,
Branch,010222-KCP JAKARTA PLAZA DUA MUTIARA,KCPJKTP2MU,
Branch,010223-KK UNIKA ATMAJAYA,KKUNIKJAYA,
Branch,010224-KK JAKARTA GEDUNG SAMPOERNA STRA,KKJGSAMGIC,
Branch,010225-KCP JAKARTA AMBASSADOR,KCPJKTAMBS,
Branch,010226-KCP JAKARTA KUNINGAN CITY,KKJKTKUNCT,
Branch,010227-KK JAKARTA CIPUTRA WORLD LOVE,KKJKTCIPUT,
Branch,010228-KK JAKARTA KRESNA SCBD,KKJAKARES,
Branch,010229-KCP JAKARTA SUDIRMAN PLAZA,KCPSUDPLAZ,
Branch,010230-KCP JAKARTA SATRIO TOWER,KCPSATTOWE,
Branch,010300-KC JAKARTA THAMRIN,JKTTHAMIDR,
Branch,010301-KCP JAKARTA SABANG,JKTSABIDR,
Branch,010302-KCP JAKARTA MENARA THAMRIN,JKTMTHAIDR,
Branch,010303-KCP JAKARTA GEDUNG JAYA,JKTJAYAIDR,
