CALENDAR,,,,CALENDARDATE,,/CALENDARDATE,/CALENDAR
BUSINESS_CENTER,CALID,DESCRIPTION,WEEKEND_DAYS,DAYNBR,DESCRIPTION,,
,,,,2006-04-17,,,
,,,,2006-05-01,,,
,,,,2006-05-29,,,
,,,,2006-08-28,,,
,,,,2007-04-06,,,
,,,,2007-04-09,,,
,,,,2007-05-07,,,
,,,,2007-05-28,,,
,,,,2007-08-27,,,
,,,,2008-03-21,,,
,,,,2008-03-24,,,
,,,,2008-05-05,,,
,,,,2008-05-26,,,
,,,,2008-08-25,,,
,,,,2009-04-10,,,
,,,,2009-04-13,,,
,,,,2009-05-04,,,
,,,,2009-05-25,,,
,,,,2009-08-31,,,
,,,,2009-12-28,,,
,,,,2010-04-02,,,
,,,,2010-04-05,,,
,,,,2010-05-03,,,
,,,,2010-05-31,,,
,,,,2010-08-30,,,
,,,,2010-12-27,,,
,,,,2010-12-28,,,
,,,,2011-01-03,,,
,,,,2011-04-22,,,
,,,,2011-04-25,,,
,,,,2011-05-02,,,
,,,,2011-05-30,,,
,,,,2011-08-29,,,
,,,,2011-12-27,,,
,,,,2012-01-02,,,
,,,,2012-04-06,,,
,,,,2012-04-09,,,
,,,,2012-05-07,,,
,,,,2012-06-04,,,
,,,,2012-06-05,,,
,,,,2012-08-27,,,
,,,,2013-03-29,,,
,,,,2013-04-01,,,
,,,,2013-05-06,,,
,,,,2013-05-27,,,
,,,,2013-08-26,,,
,,,,2014-04-18,,,
,,,,2014-04-21,,,
,,,,2014-05-05,,,
,,,,2014-05-26,,,
,,,,2014-08-25,,,
,,,,2015-04-03,,,
,,,,2015-04-06,,,
,,,,2015-05-04,,,
,,,,2015-05-25,,,
,,,,2015-08-31,,,
,,,,2015-12-28,,,
,,,,2022-06-02,,,
,,,,2022-06-03,,,
,,,,2048-04-03,,,
,,,,2048-04-06,,,
,,,,2048-05-04,,,
,,,,2048-05-25,,,
,,,,2048-08-31,,,
,,,,2048-12-28,,,
,,,,2049-04-16,,,
,,,,2049-04-19,,,
,,,,2049-05-03,,,
,,,,2049-05-31,,,
,,,,2049-08-30,,,
,,,,2049-12-27,,,
,,,,2049-12-28,,,
